Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
DL,Texas A&M,73,336,5.1,27,30,102,8.02,4.95,Y
WR,UCLA,73,203,4.5,34.5,8,112,,4.19,Y
DL,Texas Tech,74,305,,,23,,,,Y
TE,Pittsburgh,76,268,5.04,30.5,20,112,7.13,4.23,Y
OG,Tennessee State,77,326,5.44,27.5,,94,8.1,4.91,Y
S,Virginia Tech,73,208,4.54,34,16,122,6.85,4.07,Y
S,Texas,74,205,4.58,36,15,121,,,Y
QB,Penn State,73,202,4.57,33,,115,7.09,4.12,Y
WR,SMU,71,201,,34.5,20,,7.27,4.4,Y
WR,Georgia Tech,78,238,4.46,37,12,125,7.07,4.25,Y
CB,Virginia,73,193,4.49,38,16,124,7.03,4.09,Y
OT,Wagner,78,302,5.38,26,19,106,7.41,4.71,Y
S,Iowa,70,207,4.62,33.5,12,116,,,Y
LB,Virginia Tech,77,253,4.54,,19,117,,,Y
DE,Clemson,75,269,4.7,33,,120,7.16,4.21,Y
CB,LSU,71,192,4.47,32,16,119,6.9,4.32,Y
QB,Wyoming,77,237,4.75,33.5,,119,6.9,4.4,Y
DL,Houston,74,287,,36,32,120,,,Y
WR,East Carolina,74,201,4.45,36.5,15,133,6.79,4.01,Y
OT,Oklahoma,76,329,5.21,28.5,19,104,8.27,4.87,Y
ILB,Alabama,73,247,4.72,31.5,,116,,4.28,Y
CB,Florida State,71,193,4.38,41.5,12,129,6.94,4.14,Y
DL,Iowa,77,275,5.04,32.5,17,117,7.34,4.46,Y
OG,Temple,76,314,5.11,26,26,106,7.3,4.78,Y
RB,Florida Atlantic,67,203,4.66,35,15,117,7.32,4.4,Y
DT,Ohio State,75,301,5.17,27,21,99,8.06,4.79,Y
OG,Louisville,74,303,5.33,27,29,104,8.2,4.75,Y
RB,Utah,69,223,4.65,33,19,,,4.37,Y
DT,Stanford,76,307,5.21,32,42,103,7.28,4.5,Y
TE,Mississippi,76,254,,34.5,16,,7.12,4.27,Y
CB,Weber State,73,180,4.5,33,17,118,7.03,4.28,Y
WR,UCF,74,216,4.54,35,14,124,7.08,4.59,Y
