Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
DT,UCLA,75,314,5.06,28.5,29,102,,4.62,Y
S,Arizona State,71,196,4.46,38,14,120,6.83,4.07,Y
CB,Washington,75,200,4.43,39.5,11,,6.56,3.89,Y
OL,Mississippi State,76,310,,28,29,109,7.77,4.62,Y
CB,Iowa,73,192,4.56,38,18,123,6.86,4.03,Y
OT,Indiana,78,301,4.94,31.5,31,115,7.7,4.44,Y
S,North Carolina State,73,220,4.41,37.5,20,132,,,Y
CB,Miami (OH),71,195,4.57,36.5,14,122,7.1,4.28,Y
RB,Boston College,73,247,4.53,41,23,131,7.19,,Y
TE,Texas A&M,76,251,4.75,31.5,17,113,7.19,4.31,Y
OLB,Utah State,77,245,4.72,34.5,15,121,,,Y
OLB,Vanderbilt,75,233,4.59,39.5,18,131,6.82,4.15,Y
DT,Auburn,76,304,4.87,29,22,108,7.62,4.89,Y
WR,Stanford,73,221,4.55,40.5,,121,6.97,4.21,Y
TE,Cincinnati,74,242,4.72,35.5,25,115,7.15,4.35,Y
OLB,Wisconsin,75,246,4.67,33.5,21,118,6.92,4.3,Y
OLB,Michigan,74,240,4.65,34.5,20,120,7.11,4.2,Y
ILB,Stanford,74,237,4.71,28.5,22,113,6.98,4.2,Y
RB,BYU,73,212,4.59,30,,123,7.25,4.53,Y
DE,Northwestern,78,296,4.87,32.5,30,114,7.26,4.38,Y
OL,Washington State,77,308,5.33,28.5,26,97,7.86,4.88,Y
QB,UCLA,75,226,4.63,36,,120,6.93,3.98,Y
DL,Texas A&M,75,288,4.95,31.5,,111,7.55,4.46,Y
WR,California,73,188,4.42,38.5,11,124,6.6,4.22,Y
P,Alabama,78,208,4.83,30.5,,114,7.28,4.41,Y
WR,South Florida,76,206,4.37,30.5,15,124,,,Y
LB,Minnesota,75,240,,,,,,,Y
RB,Texas-El Paso,69,208,4.56,37.5,16,127,6.82,4.2,Y
OL,Michigan,76,306,5.08,30.5,24,107,7.57,4.69,Y
RB,Notre Dame,71,212,4.57,36,17,130,7,4.16,Y
OT,Stanford,78,305,5.19,,23,,,,Y
WR,Notre Dame,77,214,4.48,,20,,,,Y
OL,Oregon,76,303,5.5,,33,,,,Y
OL,Indiana,76,313,,,37,,,,Y
LB,TCU,73,241,4.51,36,27,123,,,Y
DE,California,75,287,4.89,35.5,28,113,7.32,4.37,Y
DL,Miami,76,263,4.82,36,23,125,,,Y
WR,LSU,74,196,4.52,39.5,11,135,7.19,4.26,Y
QB,Clemson,74,221,4.66,32.5,,119,6.95,4.31,Y
CB,Wake Forest,73,188,4.52,41.5,,130,6.79,3.89,Y
WR,Notre Dame,73,186,4.32,33.5,10,126,6.93,4.27,Y
DL,TCU,75,290,4.9,29,,107,7.77,4.67,Y
ILB,Mississippi State,76,246,4.66,40.5,16,121,7.21,4.27,Y
C,Notre Dame,76,299,5.22,28,28,97,7.57,4.72,Y
CB,Kentucky,74,213,4.52,38,15,129,7.01,4.1,Y
OLB,Vanderbilt,75,234,4.67,35,15,125,7.03,4.29,Y
S,Stanford,73,204,4.4,36.5,16,128,6.65,4.15,Y
WR,Arizona State,74,217,4.44,42,,123,,,Y
OL,Mississippi State,76,308,,,24,,,,Y
WR,Ohio State,73,201,4.5,35,17,123,6.65,4.07,Y
TE,San Diego State,77,252,4.67,36.5,19,122,7.21,4.25,Y
RB,Texas,73,233,,,18,,,,Y
DL,Florida,75,263,4.87,30.5,22,113,7.13,4.34,Y
TE,Central Florida,75,249,,,,,,,Y
WR,Texas Tech,70,181,4.43,34.5,14,113,6.93,4.15,Y
RB,San Jose State,70,192,4.41,39,17,130,,,Y
OL,North Carolina,80,311,5.16,28,21,112,8.02,4.86,Y
CB,Penn State,70,187,4.49,36.5,20,129,6.95,3.97,Y
DT,Clemson,75,309,,,25,,,,Y
S,West Virginia,73,210,4.53,,11,121,,,Y
DL,Texas,77,280,4.92,36.5,,115,7.48,4.36,Y
DT,Clemson,75,327,5.33,29.5,30,99,7.9,4.71,Y
CB,Oregon State,74,206,4.62,31,11,116,,,Y
WR,Rhode Island,74,198,4.45,36,,121,7.28,4.62,Y
WR,Michigan State,73,215,4.54,32.5,,121,7.07,4.25,Y
DE,Wake Forest,76,264,,,,,,,Y
TE,Mississippi State,77,265,4.74,27,16,111,7.5,4.75,Y
EDGE,Stanford,75,252,4.57,34,19,121,7.13,4.36,Y
DT,Rice,74,289,4.9,,,,,,Y
RB,LSU,73,226,4.83,27,,111,7.17,4.4,Y
C,Baylor,77,307,5.24,26,23,96,7.71,4.84,Y
S,Ohio State,73,206,,,,,,,Y
C,Alabama,76,311,5.03,30,26,103,7.58,4.59,Y
WR,Miami (FL),70,185,4.33,37,13,122,6.7,4.11,Y
OG,Notre Dame,77,325,,26.5,35,105,7.65,4.62,Y
CB,Temple,73,192,4.51,39.5,18,120,7.31,4.31,Y
WR,USC,76,223,4.52,36.5,13,121,6.96,4.14,Y
OLB,South Carolina State,74,234,4.7,,17,,,,Y
OG,Auburn,78,315,5.22,33.5,35,113,,4.77,Y
RB,Wisconsin,70,226,4.39,36,17,123,7.01,4.24,Y
CB,Florida,73,211,4.54,32,14,118,6.86,4.02,Y
EDGE,TCU,75,250,4.62,40,23,134,7.02,4.27,Y
EDGE,Rutgers,77,253,4.65,,,,,,Y
S,Clemson,74,209,4.34,35.5,13,129,,,Y
WR,Ohio State,73,205,4.31,40,11,135,,4.03,Y
EDGE,Ohio State,75,265,,35.5,,122,,,Y
CB,Florida Atlantic,70,187,4.37,36,18,124,6.96,4.26,Y
DE,Ohio,76,269,4.7,31.5,15,119,7.27,4.35,Y
OT,Texas Tech,77,316,5.16,,18,,,,Y
S,Utah,73,187,,,,,,,Y
LB,Stanford,73,239,4.58,33.5,,122,7.25,4.26,Y
DE,Stanford,78,294,4.97,30,,111,7.2,4.19,Y
RB,North Carolina State,68,198,4.38,35.5,,119,7.18,4.35,Y
S,Central Florida,74,218,4.55,37,22,120,7.21,4.27,Y
S,Michigan State,71,213,4.52,34.5,22,118,,,Y
DT,Texas,75,303,5.02,32,24,113,8.28,4.82,Y
QB,Washington,78,231,4.89,27.5,,110,7.5,4.75,Y
ILB,Florida,73,232,4.76,,,,,,Y
OG,USC,80,353,5.58,23.5,22,92,8.31,5.21,Y
RB,South Florida,71,213,4.5,35.5,15,125,,,Y
S,USC,74,198,,42,,136,6.63,4.01,Y
OL,Ball State,76,306,4.91,29.5,24,110,7.76,4.62,Y
DT,Stanford,73,308,5.38,29,34,103,,,Y
OT,North Dakota State,78,304,5.16,27.5,,111,7.47,4.47,Y
CB,Temple,73,196,4.52,35.5,14,118,,,Y
ILB,Northwestern,73,238,4.65,30.5,23,116,7.23,4.34,Y
RB,Mississippi,73,216,,36,16,117,,4.27,Y
WR,Clemson,74,202,4.43,33.5,11,115,6.71,4.37,Y
DL,Penn State,76,290,4.9,28.5,21,111,7.47,4.44,Y
EDGE,Mississippi State,76,252,4.63,35,24,114,7.27,4.42,Y
RB,Mississippi State,68,217,4.7,32,21,113,,,Y
ILB,Georgia,73,244,4.83,32,23,111,7.35,4.27,Y
WR,Washington State,76,225,4.48,36,15,132,7.28,4.38,Y
OT,Utah,79,310,5.18,27,25,109,7.85,4.66,Y
OL,Mississippi,75,307,5.13,27.5,27,98,7.72,4.78,Y
C,Iowa,74,298,5.36,27.5,29,99,7.52,4.53,Y
LB,LSU,75,254,,,,,,,Y
DT,Florida,76,291,4.98,35,30,119,7.12,4.48,Y
RB,LSU,73,240,4.51,28.5,,,,,Y
CB,Florida State,73,209,4.41,41.5,14,135,6.94,4.18,Y
EDGE,Kentucky,77,262,4.63,,28,118,7.15,4.23,Y
CB,Florida,73,204,4.39,37.5,20,127,,,Y
OT,Alabama,78,322,5.15,26,,106,7.81,4.82,Y
OT,Florida,77,312,,,24,,,,Y
RB,Alabama,73,226,4.61,36,22,117,7.19,4.22,Y
OLB,UCLA,73,245,4.56,,19,,,,Y
WR,Colorado,73,227,4.58,,17,,,,Y
OG,South Carolina,75,313,5.47,,26,,,,Y
DE,Illinois,75,264,4.77,29.5,,117,7.18,4.39,Y
DE,Maryland,74,252,4.75,34.5,26,118,7.35,4.5,Y
TE,San Jose State,77,249,4.63,34,22,117,7.21,4.47,Y
DL,Ohio State,76,320,5.14,29.5,33,102,7.72,,Y
S,Alabama,75,214,,34,,120,,,Y
DT,Notre Dame,73,293,5.07,30,21,102,7.44,4.5,Y
S,Louisville,74,209,4.56,32.5,,123,7.04,,Y
WR,Oklahoma,73,178,,,,,,,Y
OL,Saint John's (MN),78,309,,,,,,,Y
OT,North Carolina State,78,306,5.26,31.5,,108,7.8,4.83,Y
CB,Michigan State,69,185,4.42,,17,,,,Y
LB,Miami,73,234,4.74,31,23,120,,,Y
WR,Florida State,71,182,4.53,36.5,,122,6.88,4.12,Y
RB,Temple,71,220,4.45,30,22,114,7.02,4.29,Y
ILB,Ohio,71,238,4.65,37,,124,6.92,4.18,Y
S,Auburn,70,215,4.51,37,24,125,,,Y
WR,Texas,78,222,,,17,,,,Y
QB,Washington State,73,225,4.97,33.5,,116,7.14,4.45,Y
DT,Ohio State,74,293,5.04,,,,,,Y
QB,Oregon State,78,224,,,,,,,Y
QB,Arkansas,73,217,4.84,28,,110,7.06,4.33,Y
QB,Nebraska,76,218,4.98,32,,115,7,4.41,Y
CB,Minnesota,70,200,4.28,37.5,13,124,7.06,4.22,Y
TE,Notre Dame,77,255,4.79,,,,,,Y
EDGE,Wisconsin,75,246,4.48,34.5,26,122,7.14,4.44,Y
DL,Auburn,75,319,5.15,,24,,7.81,4.77,Y
QB,Texas Tech,74,225,4.8,30,,114,6.88,4.08,Y
CB,Washington,73,197,4.53,37.5,17,121,7.08,4.08,Y
RB,LSU,67,207,4.6,39.5,15,123,,,Y
DT,Mississippi State,78,310,5.03,24.5,26,106,7.44,4.62,Y
DT,Mississippi,75,283,4.87,32.5,,110,7.63,4.65,Y
OG,Missouri,77,305,5.14,31,36,112,7.6,4.5,Y
WR,Georgia,70,187,4.33,36.5,17,119,,,Y
DE,Villanova,79,289,4.83,30,23,128,7.46,4.62,Y
S,Virginia,73,205,4.42,44,21,141,,,Y
LB,Mississippi State,73,243,4.46,39.5,21,136,7.08,4.3,Y
OLB,Clemson,73,223,4.61,32,21,119,6.64,4.07,Y
CB,Notre Dame,71,192,4.49,,17,,,,Y
DT,Florida State,73,317,5.38,27,25,96,8.15,5.02,Y
WR,Georgia,74,213,4.35,45,18,139,7.06,4.3,Y
RB,Toledo,70,216,4.62,36.5,18,119,,,Y
OL,TCU,78,315,,,,,,,Y
CB,Oregon State,70,197,4.49,34.5,19,115,6.88,4.07,Y
OT,Cincinnati,78,310,5.26,27.5,,97,,,Y
CB,Minnesota,71,199,4.49,39.5,15,124,7.08,4.05,Y
ILB,Georgia,74,237,4.77,35,23,111,,4.51,Y
S,Texas A&M,71,205,,35,13,120,7.25,4.37,Y
WR,Florida,73,203,4.59,34.5,,123,6.77,4.19,Y
S,Louisiana Tech,73,192,4.37,41,12,131,,,Y
WR,Michigan,75,204,4.47,35.5,10,132,6.7,4.09,Y
QB,Stanford,75,218,4.78,32.5,,113,6.9,4.31,Y
CB,Georgia Tech,71,193,4.49,33,17,132,7.18,4.33,Y
DT,Tennessee,77,314,5.15,29.5,26,105,7.94,4.68,Y
CB,South Carolina,71,193,4.52,34,12,117,,4.25,Y
DE,Virginia Tech,75,235,4.74,41,14,116,7.04,4.38,Y
DT,Southern Miss,74,307,5.02,34,26,114,7.67,4.69,Y
WR,Northern Illinois,73,205,4.54,37,17,120,7.04,4.11,Y
CB,Tulane,73,202,,36,,126,,,Y
WR,Alabama,71,188,4.27,42,,131,,,Y
CB,Ohio State,73,195,4.56,,,,,,Y
S,Clemson,74,227,4.41,34.5,20,124,,,Y
WR,Kentucky,71,204,,,13,,,,Y
WR,South Carolina,75,212,,,,,,,Y
OL,Clemson,76,321,5.24,30,34,107,8.03,4.87,Y
CB,Louisiana Tech,68,187,,,,,,,Y
S,Florida State,75,215,4.47,40,21,132,,,Y
LB,Oklahoma,74,241,4.52,38,21,129,,,Y
DL,Notre Dame,78,295,4.93,32,23,115,7.45,4.33,Y
QB,Oregon,78,236,4.68,35.5,,123,7.06,4.46,Y
WR,Clemson,76,218,,32.5,15,121,,,Y
OG,Western Kentucky,76,309,5,27.5,34,111,7.55,4.62,Y
EDGE,USC,75,251,4.65,32,20,119,,,Y
OG,Indiana,76,305,5.24,28,26,101,7.52,4.68,Y
DT,North Carolina State,74,309,5.09,29,24,104,7.82,4.74,Y
RB,UCLA,71,212,4.49,31,23,121,6.95,4.28,Y
S,Miami (FL),73,214,4.51,37,19,128,,,Y
S,West Virginia,74,216,,35.5,21,113,,,Y
LB,Notre Dame,74,234,4.57,37.5,31,122,6.94,4.14,Y
S,Iowa,70,201,,34,14,117,6.67,4.18,Y
WR,Virginia,73,224,4.47,38,21,123,,,Y
C,UCLA,76,310,5.09,33.5,25,111,7.5,4.69,Y
S,Notre Dame,70,201,4.6,32,17,119,6.81,4.08,Y
OT,Utah,77,311,5.27,26,15,107,7.84,4.6,Y
WR,Texas Tech,75,226,4.59,38.5,18,130,6.56,4.03,Y
LB,Houston,74,245,4.65,33,20,119,7.38,4.38,Y
WR,Ohio State,73,196,4.6,32.5,17,114,,,Y
DE,Notre Dame,76,280,4.89,31.5,25,114,,,Y
RB,Northwestern,73,199,4.52,38.5,13,122,6.81,4.07,Y
QB,California,76,215,4.82,27,,110,7.17,4.47,Y
TE,South Alabama,75,239,4.62,37.5,22,126,6.99,4.33,Y
RB,Florida State,70,217,4.47,35.5,20,122,,4.42,Y
WR,Florida,73,200,,,,,,,Y
S,Washington,73,208,,35,17,115,6.82,3.99,Y
S,Utah,71,202,4.46,33.5,20,122,,,Y
WR,East. Washington,74,204,4.62,31,,116,6.75,4.08,Y
RB,Memphis,68,208,4.49,33.5,22,121,,,Y
LB,Alabama,77,262,,37,,124,,,Y
OT,TCU,77,309,4.96,24,27,102,7.65,4.44,Y
S,Troy,73,205,4.61,37,14,119,6.72,4.18,Y
OT,Oklahoma,76,312,5.2,,22,,,,Y
TE,Western Kentucky,78,249,4.77,,,,,,Y
C,Michigan State,73,298,5.34,26.5,27,99,7.81,4.71,Y
WR,South Carolina,71,203,4.52,31,15,115,,,Y
WR,Texas A&M,75,194,4.52,37,,124,6.83,4.13,Y
DL,Washington,73,312,5.16,31,30,109,,,Y
TE,Purdue,76,245,4.66,33.5,21,116,7.25,4.28,Y
ILB,Virginia,74,238,4.66,35.5,,121,7.05,4.24,Y
EDGE,Oklahoma,73,253,4.77,38,27,121,,,Y
OT,Wisconsin,78,308,5.28,25.5,,99,7.69,4.77,Y
RB,Tennessee,70,216,,35,15,120,7.13,4.51,Y
TE,South Carolina State,77,244,4.71,30.5,18,115,6.88,4.31,Y
DT,Tulane,73,296,5.24,27,22,105,7.53,4.57,Y
ILB,Kentucky,75,249,4.91,30.5,11,118,,,Y
OG,Maine,76,319,5.58,23.5,17,98,7.86,4.95,Y
S,Ohio State,74,203,4.67,35.5,,122,,4.27,Y
EDGE,Louisville,76,258,4.78,33,25,114,6.99,4.4,Y
FB,Virginia Tech,70,231,4.93,32,19,114,7.27,4.34,Y
OLB,Pittsburgh,71,241,4.84,31.5,20,117,,4.34,Y
LB,Baylor,73,227,,,18,,,,Y
OL,Clemson,74,314,5.21,24.5,26,104,,,Y
LB,Texas Tech,73,232,4.77,31.5,23,116,6.88,4.04,Y
DB,Alabama,73,201,4.46,33,14,121,,,Y
OT,Mississippi,77,310,5.23,,,,,,Y
DL,Clemson,75,315,5.04,29.5,28,107,,4.55,Y
WR,Louisville,75,209,4.45,36.5,17,125,,,Y
OL,USC,77,322,5.07,31,27,115,7.95,,Y
DE,Missouri,75,253,4.82,32,21,109,7.47,4.42,Y
CB,Auburn,70,198,4.48,37,15,128,,,Y
QB,Alabama,73,217,,,,,,,Y
CB,Baylor,73,201,4.58,33,11,122,7.18,4.15,Y
OL,Louisiana-Lafayette,77,323,,,,,,,Y
TE,Penn State,77,247,4.54,41.5,22,129,6.76,4.1,Y
DT,Oklahoma,77,329,5.17,30,28,105,7.88,4.68,Y
ILB,Ohio State,74,240,4.61,33,23,121,7.15,4.39,Y
DL,Alabama,78,311,5.12,28,24,111,7.95,4.86,Y
S,Texas,71,198,,,,,,,Y
RB,Alabama,73,210,4.45,34.5,10,123,7.04,4.21,Y
OLB,Ohio State,73,229,4.53,36.5,22,126,,,Y
OL,Wisconsin,77,309,5.23,28,21,105,7.88,4.81,Y
WR,Rutgers,73,211,4.5,35.5,14,120,,,Y
CB,Clemson,73,199,4.4,29.5,13,121,7,4.32,Y
OL,Georgia,75,337,,,,,,,Y
OG,Arizona State,76,304,5.25,29,28,99,7.99,4.75,Y
TE,Notre Dame,77,253,4.81,31,18,110,7.17,4.23,Y
RB,Arizona State,73,228,4.46,33.5,15,122,6.91,4.35,Y
CB,Memphis,69,195,4.51,36,17,130,6.8,3.82,Y
RB,Boise State,73,221,4.57,39,19,121,7.1,4.1,Y
LB,Wisconsin,75,241,,38,17,123,6.89,4.14,Y
DL,North Carolina,76,275,4.89,31,26,113,7.45,4.37,Y
WR,Michigan State,74,192,4.61,36,10,114,6.92,4.13,Y
OG,Utah,75,323,5.34,25.5,35,102,7.83,4.93,Y
LB,Boise State,74,265,,32.5,,116,7,4.27,Y
DT,LSU,75,310,5.27,,18,,,,Y
LS,LSU,75,229,5.07,31,,112,7.43,4.52,Y
DT,Oklahoma State,75,304,5.07,28.5,26,108,7.58,4.72,Y
OT,Ohio State,78,305,5.09,27,23,115,7.9,5.02,Y
S,Penn State,73,201,4.54,,,,,,Y
QB,Western Kentucky,75,213,5.22,27,,103,7.49,4.52,Y
TE,UCLA,74,231,4.72,33.5,12,118,6.97,4.24,Y
RB,Washington,69,205,4.58,35.5,24,118,7.19,4.27,Y
WR,Virginia Tech,73,194,4.61,35.5,14,127,6.94,4.34,Y
WR,Navy,69,186,4.63,36,10,122,7.12,4.31,Y
CB,Michigan State,73,186,4.31,38,19,122,7.06,4.39,Y
OL,North Carolina State,75,306,4.92,31,34,104,7.41,4.53,Y
WR,LSU,73,202,4.43,37.5,,126,,,Y
WR,Mississippi,74,221,4.52,33,12,117,,,Y
CB,Central Florida,71,191,4.53,35.5,20,127,6.7,4.13,Y
CB,TCU,70,191,4.48,37.5,17,124,7.26,,Y
RB,Florida State,70,210,4.49,30.5,22,116,7.27,4.53,Y
ILB,UCLA,73,232,4.61,38,19,124,,,Y
TE,Alabama,74,242,4.63,32.5,19,110,7.32,4.33,Y
CB,Clemson,70,190,4.43,,11,,,,Y
OL,Boise State,78,311,4.93,30,30,111,7.26,4.46,Y
OT,Pittsburgh,79,297,4.82,29.5,22,107,7.14,4.5,Y
RB,Boise State,71,221,4.67,35,22,127,7.13,4.29,Y
C,Ohio State,75,303,5.32,23.5,22,99,7.94,4.71,Y
DE,LSU,77,252,4.57,,25,,,,Y
CB,Mississippi State,74,188,4.64,34.5,,,,,Y
DE,Ohio State,77,283,4.82,32,25,,,,Y
DT,Iowa,75,316,5.38,28,19,100,7.64,4.62,Y
OT,Pittsburgh,77,309,5.14,32.5,22,111,7.68,4.54,Y
OT,Oklahoma,77,305,5.29,27.5,28,101,7.89,4.7,Y
DL,South Carolina,77,258,4.73,34.5,20,123,7.25,4.44,Y
ILB,Michigan,74,244,4.75,34.5,27,119,6.98,4.13,Y
OT,West. Michigan,77,321,5.28,25.5,20,103,7.96,4.71,Y
DL,Baylor,76,289,5.01,29,23,111,7.39,4.39,Y
LB,Oregon,75,231,,,,,,,Y
TE,Southern Illinois,74,251,4.58,38,17,118,7.25,4.37,Y
WR,Maryland,73,195,4.46,35,,115,7.03,4.32,Y
TE,Central Michigan,75,254,4.8,38,18,120,7.13,4.23,Y
OLB,Missouri,73,245,4.89,28.5,19,110,6.99,4.11,Y
LB,USC,74,238,4.69,39,15,123,,4.23,Y
K,Auburn,77,213,,,,,,,Y
CB,Temple,71,197,4.52,41,14,133,7.15,4.27,Y
WR,South Florida,73,189,4.44,29.5,8,125,6.98,4.28,Y
WR,Miami,71,203,4.48,37.5,18,123,7,4.35,Y
OG,Miami (FL),75,306,5.03,29,26,94,8.13,4.9,Y
OT,Oklahoma,77,324,5.35,29,29,97,,4.92,Y
TE,Texas-San Antonio,76,262,,,,,,,Y
DL,Arkansas,77,300,5.23,,,,,,Y
DE,Louisville,76,284,5.06,,26,,,,Y
TE,Virginia Tech,78,257,4.57,39,18,134,,4.45,Y
S,Michigan,71,209,4.55,36.5,20,124,6.94,4.4,Y
OG,Appalachian State,77,311,5.2,25,32,103,7.6,4.83,Y
DE,Tulane,78,262,4.6,38.5,18,128,7.53,4.48,Y
CB,Texas,71,201,4.45,36.5,19,127,6.94,4.08,Y
WR,Miami (FL),73,195,4.45,34,10,122,,,Y
DE,Northwestern,75,258,4.72,31.5,25,128,7.26,4.4,Y
DL,Michigan State,75,264,4.87,32.5,32,119,7.39,,Y
OLB,Vanderbilt,76,267,4.61,31,23,117,,,Y
OT,Alabama,76,315,5.39,29,17,94,8.04,4.7,Y
OLB,Newberry,75,245,4.61,37,20,121,7.49,4.38,Y
WR,Oregon,73,197,4.46,36.5,12,122,,4.29,Y
S,Clemson,76,216,4.62,31.5,16,124,7.06,,Y
QB,Iowa,76,235,4.81,28.5,,108,7.26,4.48,Y
CB,North Carolina State,73,202,4.54,35,21,125,,,Y
WR,Colorado State,73,204,4.51,38,14,124,6.88,4.16,Y
S,Mississippi State,74,213,4.52,,,,,,Y
OG,Georgia,75,313,,,,,,,Y
RB,Georgia,71,214,4.54,,22,,,4.21,Y
DT,Texas,74,319,5.05,29.5,26,98,7.84,4.59,Y
WR,Arizona State,74,228,4.53,38.5,27,122,,,Y
S,Lenoir-Rhyne,73,217,4.49,42,17,134,,,Y
CB,Florida,70,208,4.46,,15,,,,Y
CB,Alabama,70,197,4.49,33,10,116,6.71,4.21,Y
LB,Michigan,73,245,,,18,,,,Y
S,Stanford,71,211,4.65,32,13,111,6.74,4.22,Y
OT,West Virginia,77,312,,,32,,,,Y
TE,Virginia Tech,76,253,4.71,34,21,125,7.07,4.19,Y
EDGE,Michigan,75,256,4.59,30.5,18,116,6.94,4.11,Y
OT,North Carolina State,77,304,4.95,28.5,28,110,7.47,4.54,Y
DE,Youngstown State,76,248,4.61,35,30,123,6.94,4.4,Y
OT,Troy,78,302,5.15,31,24,108,7.98,4.94,Y
RB,Alabama,70,216,4.57,37,16,121,,,Y
LB,Alabama,74,256,,,,,,,Y
QB,North Carolina State,76,231,4.94,31,,113,7.17,4.53,Y
TE,UCLA,75,257,4.73,30.5,16,115,,,Y
DT,Nebraska,76,329,5.19,29,17,110,8.03,4.59,Y
OLB,Oklahoma,75,262,4.81,37,20,117,7.24,4.38,Y
DE,Arkansas,74,266,4.93,36.5,28,121,7.34,4.4,Y
OG,Florida State,76,330,5.52,25,,96,,,Y
WR,Georgia,73,198,4.45,36,15,129,6.94,4.34,Y
OL,Arkansas,77,306,5.2,27.5,31,105,7.51,4.54,Y
DE,Arkansas,77,274,4.92,33,22,124,,,Y
QB,Auburn,74,218,4.81,31,,110,7.28,4.33,Y
DL,Maryland,75,298,5.16,30,26,111,,,Y
P,Stanford,73,200,4.72,33,,117,,,Y
LS,Navy,74,242,4.91,33,30,,,,Y
ILB,Arizona State,74,244,4.75,32,28,114,7.03,4.25,Y
OL,Michigan,75,344,,,26,,,,Y
OL,Wake Forest,76,308,5.26,33,27,105,8.41,4.88,Y
WR,Miami (FL),69,184,,,11,,,,Y
OT,UCLA,80,307,5.18,28.5,,105,7.52,4.58,Y
QB,LSU,74,222,4.76,30.5,,114,7.09,4.37,Y
TE,Florida State,77,256,4.94,33,18,110,7.15,4.43,Y
CB,Mississippi,71,203,4.43,43,18,133,6.85,4.14,Y
OLB,Alabama,75,260,4.74,29.5,19,100,7.56,4.53,Y
CB,Ohio State,73,193,4.36,38.5,,132,,,Y
DT,Louisville,73,299,5.03,34.5,28,118,7.44,4.59,Y
OT,Stanford,79,313,5.18,31,,105,8.01,4.62,Y
DE,Texas-San Antonio,78,264,4.58,33.5,22,124,7.2,4.41,Y
OL,Michigan,75,307,5.08,33,28,113,7.91,4.64,Y
ILB,Clemson,75,243,4.56,37,23,122,7.07,4.03,Y
OT,Wisconsin,78,310,,,25,,,,Y
S,Utah,73,202,4.56,43.5,14,129,6.85,4.2,Y
OLB,Washington,74,253,4.93,,,,,,Y
WR,Ohio State,75,212,4.57,35,18,126,6.8,4.13,Y
OL,Texas A&M,76,303,4.89,31,29,107,8.28,4.62,Y
S,Ohio State,71,199,4.52,,16,,,,Y
DE,Florida Atlantic,76,266,4.65,33.5,,122,7.03,4.2,Y
TE,Dayton,77,255,4.8,34.5,18,114,6.78,4.27,Y
RB,Tennessee,70,214,4.56,39.5,15,131,,,Y
LB,Wisconsin,74,238,4.65,32.5,24,115,7,4.31,Y
QB,Colorado State,74,213,4.75,,,,,,Y
OLB,Florida,75,241,4.63,30.5,16,116,6.88,4.25,Y
CB,Florida State,73,194,4.57,40,12,132,7.08,4.28,Y
OT,Florida State,79,311,,,19,,,,Y
OLB,Tenn-Chattanooga,74,246,4.57,42.5,26,132,,,Y
DT,Fresno State,74,316,5.18,33,32,105,7.53,4.46,Y
S,Wisconsin,73,198,4.4,35.5,25,120,,,Y
CB,Georgia,73,189,4.5,33,,118,,,Y
S,Rutgers,73,206,4.48,,14,125,,,Y
CB,Boston Col.,71,200,,,,,,,Y
DE,Miami (FL),75,253,4.88,30.5,22,117,7.25,4.47,Y
RB,Missouri,69,198,4.61,29,11,109,,4.4,Y
TE,Notre Dame,76,249,4.7,36,22,120,7.27,4.34,Y
RB,California,73,209,4.46,41.5,23,135,7.22,4.26,Y
C,LSU,76,311,5.39,29,25,97,8.04,4.92,Y
CB,Ohio State,73,199,4.4,,13,,,,Y
DL,Clemson,76,342,5.05,,36,,,,Y
TE,Mississippi,75,234,4.42,36,19,125,6.92,4.23,Y
RB,Penn State,73,233,4.4,41,29,,,4.24,Y
CB,Georgia,71,193,4.52,,14,118,,,Y
OL,Georgia,77,315,5.22,30.5,21,109,7.58,4.66,Y
QB,Duke,77,221,4.81,33.5,,120,7,4.41,Y
OT,Miami (FL),78,329,5.31,,37,,,,Y
S,Alabama,73,228,4.53,35,,120,7.38,4.33,Y
OG,Texas-El Paso,74,327,5.15,24,37,104,7.59,4.7,Y
S,Alabama,73,201,4.63,36,19,122,,,Y
WR,Oklahoma,70,194,4.48,41,20,123,7,4.35,Y
DT,Alabama,75,310,5.19,27,,110,7.68,4.59,Y
EDGE,Georgia,78,250,4.5,36,,130,,,Y
DT,North Carolina State,76,311,4.99,26.5,35,101,7.28,4.53,Y
S,Boise State,74,208,4.69,32.5,12,118,7.26,4.33,Y
DE,UCLA,75,267,4.62,39,25,127,7.36,4.19,Y
QB,California,77,229,4.79,33,,118,6.92,4.21,Y
EDGE,Old Dominion,75,253,4.78,34,24,118,7.13,4.57,Y
OL,Connecticut,79,318,5.06,30,26,113,8.01,4.92,Y
QB,Richmond,75,222,4.81,31,,113,6.95,4.07,Y
CB,Notre Dame,71,195,4.54,36,14,121,6.72,4.1,Y
OLB,Clemson,73,242,4.69,34.5,30,118,7.05,4.51,Y
CB,UCLA,70,195,4.48,,12,,,,Y
RB,Clemson,73,215,4.6,29.5,21,120,7.17,4.28,Y
DT,Miami (FL),76,286,,,,,,,Y
LB,Wisconsin,74,242,4.66,34.5,,118,7.09,4.31,Y
RB,UCLA,70,208,4.54,32,19,124,,,Y
OL,Oregon,76,310,5.11,25.5,,107,8.13,4.9,Y
DE,Youngstown State,75,264,4.79,32.5,14,114,7.25,4.43,Y
