Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Ashton Moore,CIT,30,37.6,5.8,14,0.412,2.6,6.9,0.383,3.9,4.5,0.859,3.4,1.5,0.5,2.7,3.2,3.6,1,0.2,18
Ladarius Tabb,AAMU,28,33.1,6.8,15,0.451,1.6,5.7,0.289,2.7,4.4,0.605,1.8,2.9,3.2,4.5,7.8,0.7,1.2,0.1,17.9
DeAndre' Bembry,SJU,31,38.6,6.4,14.9,0.432,1.6,4.9,0.327,3.3,5.2,0.637,2.9,2.4,1.6,6.2,7.7,3.6,1.9,0.9,17.7
Chris Hansen,ISU,30,33.3,5.2,13,0.404,2.7,7,0.383,4.6,5.5,0.836,2,1.5,0.4,3,3.4,2.3,1.3,0,17.7
Jelani Hewitt,GSU,31,35.1,4.8,13.7,0.351,2.9,8.6,0.335,5.1,6.4,0.807,2.6,1.8,1,3.2,4.2,3.7,2.5,0.3,17.6
Justin Moss,UB,33,30,6.2,11.8,0.521,0,0.1,0,5.2,7.2,0.73,2.2,3,2.8,6.4,9.2,0.6,1,0.8,17.5
Marcus Burton,WC,29,33.8,6,15,0.401,2.1,6.6,0.321,3.4,4.2,0.811,2.3,2,0.5,2.1,2.7,1.6,1.1,0,17.5
Kyle Wilson,USMA,29,32.4,5.9,15.3,0.384,2.6,7.6,0.338,3.2,4,0.786,2.7,1.8,0.5,2.4,2.9,1.9,0.8,0.1,17.5
Damon Lynn,NJIT,33,36.5,5.5,15.1,0.365,3.8,10.6,0.36,2.7,3.5,0.772,2.8,2,0.5,2.5,3,3.7,1.8,0.1,17.5
D'Angelo Harrison,STJ,33,34.8,5.4,13,0.415,2,5.4,0.369,4.7,5.9,0.799,1.7,3.5,1.2,4.3,5.5,1.9,1.1,0.4,17.5
Martez Harrison,UMKC,33,32,5.3,13.6,0.393,1.4,5.1,0.28,5.4,7.2,0.748,2.6,2.7,0.6,1.8,2.4,3.9,1.8,0,17.5
Rakeem Christmas,SU,31,34.3,6.5,11.9,0.552,0,0,0,4.4,6.2,0.712,2.5,3.4,3.1,5.9,9,1.5,0.9,2.5,17.5
Bobby Portis,U of A,36,29.9,6.9,12.9,0.536,0.4,0.8,0.467,3.2,4.3,0.737,1.6,2.2,3.7,5.2,8.9,1.2,1.1,1.4,17.5
Marcel Mosley,UAPB,28,35.6,5.2,12.9,0.403,2.5,6.5,0.381,4.6,5.7,0.818,3.5,1.9,0.8,2.1,2.9,2.6,2.1,0,17.5
"Juwan Howard, Jr.",UDM,33,31.6,6.3,14.5,0.434,1.9,4.8,0.408,2.9,3.4,0.85,2.1,2,1.1,3,4.1,2.4,0.9,0.3,17.5
Buddy Hield,OU,35,32.4,5.9,14.2,0.412,2.7,7.4,0.359,3.1,3.7,0.823,1.9,1.7,1.6,3.8,5.4,1.9,1.3,0.2,17.4
Jermaine Ruttley,FAMU,29,33,6.2,13.8,0.451,1.1,3.9,0.295,3.8,5.6,0.679,2.4,3,1.4,5.3,6.7,2.1,1.6,0.1,17.4
Ryan Boatright,UConn,34,35.8,5.4,12.6,0.423,2.5,6.1,0.411,4.2,4.9,0.85,2.4,1.9,0.4,3.6,4.1,3.8,1.4,0.2,17.4
Evan Payne,LMU,28,27.3,5.7,12.9,0.443,1.3,3.8,0.352,4.6,5.8,0.791,2.2,1.5,0.8,2,2.7,1.6,0.8,0.2,17.4
Jahlil Okafor,DUKE,38,30.1,7.3,11.1,0.664,0,0,0,2.6,5.1,0.51,2.5,2.1,3.5,4.9,8.5,1.3,0.8,1.4,17.3
Daniel Trist,LC,33,27,7,12.1,0.576,0,0,0,3.3,4.3,0.78,2.3,2.2,2.3,4.4,6.7,1.3,0.4,0.7,17.3
Alan Williams,UCSB,26,32.6,6.2,13.4,0.458,0,0.1,0,5,6.5,0.768,2,2.7,3.3,8.5,11.8,1.7,1.2,1.8,17.3
Desharick Guidry,MSU,31,35.2,6.3,12.9,0.487,1.2,3.2,0.374,3.5,4.9,0.715,2.1,2.8,4.4,6.8,11.2,1.6,1.3,0.6,17.3
Stephen Croone,FU,31,32,5,11.2,0.448,1.8,5.1,0.348,5.5,7.3,0.752,2.4,2.5,0.8,3.8,4.7,2.6,1.6,0.2,17.3
Dennis Mavin,FIU,33,35.6,6,13.7,0.438,0.9,3,0.313,4.3,6.7,0.643,3.6,1.4,0.8,4.5,5.3,3.1,1.2,0,17.2
Quincy Taylor,LONG,31,36,6.1,14,0.434,2.8,5.8,0.48,2.3,3.2,0.735,3,2.4,0.4,2.5,3,2.7,1.3,0.2,17.2
Matt Mobley,CCSU,31,37,5.5,13.8,0.4,2.4,6.7,0.357,3.8,5,0.756,2.7,2.1,0.5,2.3,2.8,1.8,0.8,0.2,17.2
Jordan Price,LU,33,31.9,5.5,14.1,0.387,2.1,6.2,0.34,4.2,5.3,0.799,3.1,2.8,0.5,3.4,3.9,2.3,0.8,0.2,17.2
Le'Bryan Nash,OSU,31,31.7,5.7,12.4,0.462,0.1,0.6,0.1,5.6,7.1,0.791,3.2,3,1.2,4.5,5.7,2,0.8,0.9,17.2
Askia Booker,CU,31,30.2,5.6,14.4,0.387,1.8,5.4,0.329,4.2,5.1,0.834,2.3,1.8,0.5,2.8,3.3,3.2,1.4,0.1,17.2
Tyrone Wallace,Cal,33,34.9,6.3,14.8,0.425,0.8,2.7,0.318,3.6,6,0.606,2.8,2.8,0.9,6.2,7.1,4,1.3,0.3,17.1
Terry Rozier,U of L,36,35,5.9,14.5,0.411,1.3,4.4,0.306,3.9,4.9,0.79,2.2,1.7,1.2,4.4,5.6,3,2,0.2,17.1
T.J. Price,WKU,32,33.4,5.5,12.3,0.443,2.5,6.1,0.413,3.6,4.4,0.816,2.6,2.7,0.7,4.7,5.3,4,0.9,0.1,17.1
Juan'ya Green,HOF,34,36.4,4.6,12.2,0.382,1.8,5.4,0.335,6,7.2,0.825,2.5,2.1,0.5,3.8,4.3,6.5,1.4,0.3,17.1
Jordan Gregory,UM,33,36,5.3,13.2,0.403,2.6,6.9,0.382,3.7,4.7,0.799,2.1,1.6,0.5,2.8,3.4,3.2,0.6,0,17
Johnny Dee,USD,31,31.1,5.4,12.6,0.428,2.6,6.8,0.379,3.6,4,0.919,1,1.5,0.4,3.1,3.5,1.3,1.2,0.1,17
Isiah Umipig,SEA,34,34,5.2,12.9,0.405,3.6,8.6,0.418,2.9,3.4,0.845,2.1,2.1,0.4,2.8,3.1,2.9,1.3,0,17
E.C. Matthews,URI,32,32.9,5.4,13.1,0.41,2.1,6.5,0.325,4.1,5.5,0.734,3.6,2.1,1.1,3.5,4.6,2,0.8,0.5,16.9
DaVonte Lacy,WSU,31,32.4,5.1,12.5,0.406,2.2,6.6,0.33,4.5,5.9,0.77,1.8,2.2,0.7,1.9,2.6,2.1,0.6,0.1,16.9
Jarell Martin,LSU,33,35.1,6.1,12,0.509,0.4,1.6,0.269,4.2,6.2,0.69,2.8,2.8,3,6.3,9.2,1.8,1.2,0.7,16.9
Josh Williams,LIP,31,31.5,5.7,11.9,0.48,2.2,5.7,0.392,3.3,4.5,0.732,2.3,2.8,1.6,3.3,4.9,2,1.4,0.2,16.9
C.J. Carter,UNO,29,34.3,6.1,13.4,0.454,1.7,5.1,0.322,3.1,4.4,0.709,2.9,2.4,0.4,1.9,2.3,2.7,1.5,0.7,16.9
Trey Freeman,ODU,35,32.3,6.3,14.3,0.44,1.3,3.8,0.356,2.9,4,0.729,1.7,1.5,0.6,3.8,4.3,3.6,1.3,0.1,16.9
Janari Joesaar,UTRGV,31,34,5.1,11,0.46,2,5.3,0.378,4.7,5.8,0.817,2.8,2.6,2.2,4.5,6.6,2.4,1.3,0.6,16.9
Shonn Miller,COR,30,31.3,5.6,12.9,0.434,0.9,3.5,0.269,4.7,5.6,0.834,1.8,2.9,0.9,7.5,8.5,1,1.3,1.8,16.8
Kyle Wiltjer,GU,38,27.6,6.4,11.8,0.54,1.8,3.8,0.466,2.3,2.9,0.789,1.1,1.6,1.3,4.8,6.2,1.9,0.5,0.7,16.8
Alec Peters,VAL,34,30.6,5.7,11.7,0.489,2.4,5.2,0.466,2.9,3.4,0.829,1.4,2,1.9,4.8,6.7,1.2,0.7,0.3,16.8
Raven Lee,EMU,35,28,5.4,12.3,0.443,2,5.5,0.361,3.9,4.9,0.795,2.9,2.2,0.7,1.2,1.9,1.5,1.4,0.2,16.7
Venky Jois,EWU,31,31.2,6.8,11.1,0.61,0.1,0.3,0.3,3.1,5.7,0.54,2.3,2.4,2.6,5,7.7,2,1.2,2.2,16.7
J.J. Avila,CSU,31,32.1,6.6,12,0.552,0.3,1.2,0.243,3.1,4.9,0.634,2.7,2.6,2.9,4.5,7.5,2.8,2,0.4,16.7
Martin Breunig,UM,32,30.1,6.7,11.3,0.593,0.1,0.4,0.154,3.2,4.4,0.738,2.4,3.4,2.6,4.7,7.3,1.9,0.5,0.8,16.7
Marcus Posley,STBN,31,35.9,5.5,14.4,0.382,2.5,7.6,0.322,3.3,4.2,0.783,2.1,2.3,0.5,2.5,2.9,2.1,1.2,0,16.7
James Daniel,HU,30,32.4,4.7,13.8,0.338,2.3,7.9,0.286,5.1,6.2,0.817,3.6,1.9,0.5,1.7,2.2,2.7,1.8,0,16.7
Tyler Kalinoski,DAV,32,34.8,6,12.8,0.466,2.8,6.7,0.423,1.9,2.4,0.789,1.4,2.7,1.5,4.2,5.7,4.1,1.2,0.4,16.7
Wesley Saunders,HAR,30,34.4,5.5,12.1,0.453,1,2.4,0.425,4.7,6,0.778,2.6,2.2,1.7,4.4,6.1,4.3,1.8,0.4,16.6
Jordan Downing,PC,31,32.5,5.9,14.4,0.413,2.2,6.3,0.356,2.5,3.3,0.765,2,2.2,0.7,3.6,4.3,1.2,0.6,0.2,16.6
Frank Eaves,ASU,29,33.1,4.8,12.4,0.382,2.1,6.1,0.35,4.9,6.1,0.812,2.5,2.2,1.1,2.8,3.9,1.7,1.3,0,16.6
Stefan Moody,UM,34,28.7,4.9,12.7,0.388,2.3,6.5,0.351,4.4,4.9,0.903,2,2.6,0.9,2.5,3.4,2.4,1.7,0.1,16.6
Jerian Grant,ND,38,37.1,5.4,11.2,0.478,1.3,4.2,0.316,4.5,5.7,0.78,2.2,2,0.3,2.7,3,6.7,1.7,0.5,16.5
Kellen Dunham,BU,34,33.9,5,11.7,0.429,2.3,5.5,0.41,4.2,4.9,0.85,1.5,1.4,0.5,2,2.6,0.9,0.6,0,16.5
Marvelle Harris,CSUF,32,36.5,5.4,12.6,0.433,1.7,5.2,0.321,3.9,5.3,0.74,2.7,3,0.7,4.3,5,3.8,2,0.2,16.4
Jameel Warney,SB,35,33,6.9,12.9,0.538,0,0,0,2.5,4.4,0.574,1.7,2.1,4.3,7.4,11.7,2,0.7,2.5,16.4
Kendall Anthony,RICH,35,36.5,5.8,13,0.446,1.7,4.4,0.392,3.1,3.9,0.79,1.5,2.1,0.3,1.5,1.8,2.5,0.9,0,16.4
Norman Powell,UCLA,36,34.6,5.9,13,0.456,1.1,3.3,0.319,3.5,4.7,0.751,2.2,2.5,0.6,4.1,4.7,2.1,1.8,0.4,16.4
Jeremy Senglin,WSU,24,35.2,4.8,11.5,0.417,1.9,5.4,0.346,5,6.3,0.783,2.6,2.2,0.5,2.7,3.2,3.5,1.1,0,16.4
Shawn Long,LA,34,28,6,11.1,0.542,0.8,2.3,0.364,3.5,5.4,0.659,2.3,3.1,3,7.1,10.2,1.5,0.6,1.6,16.4
Aaron White,UI,34,31.5,5,9.6,0.521,0.6,1.7,0.356,5.7,7,0.819,1.2,1.6,2.1,5.2,7.3,1.4,1.3,0.5,16.4
Connor Hill,U of I,30,30.7,5.5,12.2,0.449,3.6,8,0.45,1.8,2.2,0.846,1,1.9,0.5,1.8,2.3,0.7,0.5,0,16.4
Marcus Gilbert,FU,31,34.7,5,11.2,0.443,1.8,5.5,0.327,4.6,5.9,0.777,2.2,2.3,1.6,4,5.6,1.2,0.8,0.6,16.4
Emmy Andujar,MAN,32,31.8,6,11.7,0.512,0.1,0.5,0.25,4.2,6,0.703,4.1,2.9,2.7,4.9,7.6,3.5,2,0.2,16.3
LeAntwan Luckett,ASU,30,34.4,5.3,14.1,0.373,1.6,5.1,0.309,4.2,6,0.702,2.3,2.9,1.7,1.7,3.4,1.7,1.3,0.4,16.3
Yogi Ferrell,IU,34,34.9,5.3,12.1,0.439,2.4,5.8,0.416,3.3,3.8,0.86,1.9,1.7,0.6,2.6,3.2,4.9,0.7,0,16.3
Trey Lewis,CSU,34,35.4,5.5,12.3,0.446,2.8,6.7,0.423,2.6,3.4,0.757,2.3,1.9,0.8,3.6,4.4,2.9,1.2,0.1,16.3
D'Vauntes Smith-Rivera,GU,32,34.4,4.9,11.7,0.421,2.2,5.8,0.387,4.2,4.9,0.861,1.6,2.1,0.8,3.4,4.2,3.2,1.6,0.2,16.3
Sterling Gibbs,SHU,29,33.7,5.2,12.1,0.431,2.6,5.9,0.436,3.3,4.7,0.701,2,1.6,0.5,1.6,2.1,3.8,1.2,0,16.3
Julius Brown,U of T,33,33.3,5.8,12.6,0.464,2.1,5.2,0.4,2.5,3,0.857,2.2,1.3,0.3,1.9,2.2,4.4,0.9,0.3,16.3
Taylor Johns,UCR,31,34.4,6.2,13.3,0.465,0.3,1.2,0.237,3.6,5.7,0.638,3.4,2.9,2.6,5.6,8.2,1.9,1.2,1.7,16.3
Melo Trimble,UMD,35,33.5,4.3,9.7,0.444,1.7,4.2,0.412,5.9,6.9,0.863,2.5,1.9,0.2,3.7,3.9,3,1.3,0.1,16.2
Mike Caffey,LBSU,33,32.5,5.9,13.6,0.434,1.9,5.3,0.354,2.5,3.5,0.728,2.7,2,0.6,3.3,4,3.6,1.8,0.2,16.2
Ameen Tanksley,HOF,34,32.5,5.3,11.8,0.448,2.2,5.5,0.398,3.4,5,0.692,2,2.4,1.8,3.8,5.5,1.4,1.4,0.2,16.2
Jack Gibbs,DAV,25,30,5,10.4,0.479,2.2,5.1,0.425,4,4.7,0.856,2.5,2,0.8,2.9,3.7,4.8,1.5,0,16.2
Jarekious Bradley,SEMO,26,29.5,5.6,13.2,0.426,1.8,5.4,0.326,3.2,3.6,0.883,1.9,2.4,1.7,3.9,5.5,1.3,1,0.7,16.2
Chris Fowler,CMU,32,34.2,5.7,11.3,0.507,0.6,2.1,0.303,4.1,6.1,0.68,2.8,2.4,0.5,2.6,3.1,6.1,1.5,0.2,16.2
Treveon Graham,VCU,33,29.4,5.2,12.2,0.428,1.9,5.1,0.381,3.8,5.5,0.691,1.2,2,2.2,4.9,7.1,1.6,0.6,0.3,16.2
Jalen Cannon,SFC,35,33.8,6,11.5,0.52,0.8,2.3,0.333,3.3,4.8,0.696,1.7,1.7,4,6.5,10.5,1,0.7,0.8,16.1
"Anthony Beane, Jr.",SIU,33,34.8,5.7,13.4,0.423,1.5,4.4,0.333,3.3,4.1,0.813,1.8,2.2,0.5,2.1,2.6,1.1,1.2,0.3,16.1
Jordan Sibert,DAY,36,33.8,4.9,10.8,0.456,2.2,6.4,0.349,4,5.1,0.788,1.8,2,0.2,3.1,3.3,2,1.7,0.1,16.1
"Larry Nance, Jr.",UW,31,34.9,6,11.6,0.514,0.5,1.4,0.333,3.7,4.7,0.786,2.3,2.2,1.4,5.8,7.2,2.5,1.2,1.2,16.1
Josh Richardson,UT,32,36.3,5.8,12.5,0.461,1.4,4,0.359,3.1,3.9,0.798,2.7,2.5,0.9,3.6,4.5,3.6,2.1,0.5,16
Chris Hass,BU,34,29.6,5.3,12.4,0.428,2.4,6.1,0.394,2.9,3.5,0.832,1.5,1.7,0.6,2.7,3.3,1.1,0.5,0.3,16
Stephan Hicks,CSUN,32,33.5,5.2,10.4,0.502,0.5,1.2,0.4,5,6.2,0.813,1.9,2.3,1.9,3.5,5.4,1.4,0.9,0.5,16
Maurice Ndour,OU,30,34.9,5.5,11.3,0.484,0.9,2.1,0.435,4.1,5.3,0.785,3,2.8,2.3,6.1,8.3,1.7,1.1,2.3,16
Jeromie Hill,UTSA,30,33.5,6.1,14.4,0.423,1.9,5.2,0.359,1.9,3.1,0.613,2.4,2.5,2.4,5.7,8.1,1.3,1.1,0.7,16
Musa Abdul-Aleem,TU,28,29,5.4,12.2,0.443,2.5,6.8,0.37,2.7,3.4,0.789,1.9,2.1,0.9,3.9,4.8,0.7,1.2,0,16
James Carlton,HU,31,31.6,5.8,12.4,0.471,0.6,2.5,0.253,3.6,4.8,0.757,2.7,2.8,1.9,5.9,7.8,1,1,1,15.9
Eric Paschall,FORD,27,31.2,5.6,13.3,0.419,1.7,5.3,0.315,3.1,4,0.794,2.8,2,1.7,3.8,5.5,1,0.8,0.4,15.9
Michael Qualls,U of A,36,30.2,5,11.5,0.436,1.5,4.6,0.333,4.4,5.7,0.775,1.7,1.7,1.6,3.7,5.3,1.7,0.9,0.5,15.9
Jared Brownridge,SCU,32,33.8,5,11.4,0.441,2.9,6.7,0.433,2.9,3.4,0.862,1.5,1.8,0.4,2.5,2.9,2.5,1.1,0.1,15.9
Anthony Livingston,ASU,29,35.8,5.7,12.3,0.464,0.9,2.9,0.321,3.5,5.1,0.689,2.7,2.3,2.7,7.4,10,0.8,0.5,1,15.9
Earl Brown,SFU,32,35.4,5.9,10.9,0.539,0.5,1.6,0.327,3.6,5.3,0.68,3.3,1.8,2.3,5.7,8,1.9,1.1,1,15.9
Jimmy Hall,KSU,30,28.6,6.4,12.1,0.532,0.1,0.2,0.4,2.9,4.3,0.682,2.3,3.2,3,4.7,7.7,1.5,0.5,1,15.9
Cedric Hankerson,BU,29,33.9,4.2,10.6,0.395,2.5,6.3,0.396,5,7.5,0.673,2.7,2.9,0.7,3.8,4.5,2.6,1.8,0.1,15.9
Brandon Clark,SCU,32,32.7,5.1,13.6,0.376,1.6,5.5,0.282,4.1,4.8,0.856,2.1,2.6,0.4,3.3,3.7,3.9,0.9,0,15.8
Dallas Moore,UNF,35,32.5,6,12.5,0.481,1.7,4.5,0.389,2,2.8,0.732,2.3,1.2,0.9,2.2,3.2,3.7,1,0,15.8
Tanner Plomb,USMA,30,28.2,5.5,13,0.425,2.2,5.8,0.377,2.5,3.1,0.809,1.9,2,1,4.6,5.6,1.3,0.8,0.4,15.8
Chip Armelin,USM,29,35.2,5.9,12.6,0.467,2.1,5.8,0.361,1.9,3,0.636,2,1.4,1.3,2.9,4.1,1.9,1.1,0.2,15.8
Mike Myers,UMES,33,26.4,5.1,8.6,0.593,0,0.2,0.167,5.5,8.5,0.642,3.2,3.4,2.6,4.4,7,1.4,1.2,0.4,15.8
Alex Harris,CSUF,28,32,5.2,12.6,0.415,1.2,4.4,0.285,4,6,0.671,2.8,1.9,0.4,3.5,4,3.5,1.5,0.1,15.8
Trevor Lacey,NCST,35,35.9,5.4,12.5,0.436,2.2,5.7,0.392,2.7,3.6,0.738,1.9,1.6,0.8,3.8,4.6,3.5,0.9,0.2,15.7
Christian Wood,UNLV,33,32.7,5.7,11.4,0.497,0.8,2.7,0.284,3.6,4.9,0.736,2.4,2.6,2.8,7.1,10,1.3,0.3,2.7,15.7
Ken Williams,USA,33,32.9,5,13.3,0.376,2.6,7.1,0.37,3.1,3.9,0.791,2.3,2,0.4,3.3,3.7,2.4,0.7,0.3,15.7
Jordan Howard,UCA,29,33.7,5,12.4,0.406,2.7,6.8,0.389,3,3.8,0.784,2.7,1.3,0.2,2.3,2.5,1.9,0.5,0,15.7
Reigarvius Williams,MSU,35,31,5.7,10,0.567,0,0,0,4.3,6.5,0.667,1.4,2.6,3.9,4.5,8.4,0.9,0.7,1,15.7
