Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Chris Clemons,CAM,33,36.6,9.2,20.6,0.448,4.2,11.8,0.357,7.5,8.6,0.869,2.5,1.9,0.8,4.3,5.1,2.8,1.5,0.3,30.1
Justin Wright-Foreman,HOF,35,37.7,9.4,18.5,0.511,3.1,7.4,0.425,5.1,5.9,0.864,2.6,1.9,0.3,3.7,4,2.9,0.9,0.2,27.1
Antoine Davis,UDM,30,37.4,8.8,21.9,0.4,4.4,11.6,0.38,4.2,4.9,0.857,3.3,2.3,0.7,2.4,3.1,3.6,0.9,0,26.1
Mike Daum,SDSU,33,33.3,8.7,16.9,0.512,2,5.5,0.37,5.9,7.1,0.838,2.2,2.9,2.4,9.3,11.7,1.8,0.7,1,25.3
Markus Howard,MU,34,33.5,7.4,17.6,0.42,3.5,8.8,0.403,6.7,7.5,0.89,3.9,2.1,0.4,3.6,4,3.9,1.1,0,25
Lamine Diane,CSUN,33,35.3,10.3,21.2,0.485,0.2,0.7,0.304,4,7.6,0.522,3.2,3.4,3.3,7.9,11.2,2.1,1.5,2.2,24.8
Ja Morant,MSU,33,36.6,8,16.1,0.499,1.7,4.8,0.363,6.7,8.2,0.812,5.2,1.5,1.2,4.5,5.7,10,1.8,0.8,24.5
Jermaine Marrow,HU,35,36.4,7.8,18.5,0.422,2.5,6.8,0.37,6.2,7.7,0.81,3.2,3.1,0.7,3.3,4.1,4.9,1.6,0.2,24.4
Carsen Edwards,PU,36,35.4,7.7,19.5,0.394,3.8,10.6,0.355,5.1,6.1,0.837,3.1,2,0.4,3.2,3.6,2.9,1.3,0.3,24.3
Nick Mayo,EKU,31,34.8,7.9,17.1,0.462,1.7,5.3,0.331,6.1,7.1,0.864,2.7,2.7,2.3,6.5,8.7,2.3,1.2,1.8,23.7
Jordan Davis,UNC,32,33.8,8,16.9,0.474,1.7,4.7,0.36,5.8,7.2,0.805,3.3,2.3,0.9,3.8,4.7,4.7,1.4,0.3,23.5
Cameron Young,QU,31,35.9,7.2,14.9,0.482,3.4,7.7,0.437,5.8,7.6,0.766,2.9,2.2,1,4.1,5.1,1.9,1.1,0.3,23.5
Myles Powell,SHU,34,36,7.4,16.6,0.447,3.1,8.7,0.363,5.1,6.1,0.84,3,2.2,0.8,3.2,4,2.9,2,0.2,23.1
Jhivvan Jackson,UTSA,29,30.9,7.7,19.8,0.386,3.6,10.2,0.351,4,4.7,0.846,2.3,2.8,0.4,3.6,4.1,2.4,1.2,0.1,22.9
R.J. Barrett,DUKE,38,35.3,8.4,18.5,0.454,1.9,6.2,0.308,3.9,5.9,0.665,3.2,1.8,1.6,6,7.6,4.3,0.9,0.4,22.6
Zion Williamson,DUKE,33,30,9,13.2,0.68,0.7,2.2,0.338,3.9,6.2,0.64,2.4,2.1,3.5,5.4,8.9,2.1,2.1,1.8,22.6
