player,team,gp,mpg,fgm,fga,fg_pct,threepm,threepa,three_pct,ftm,fta,ft_pct,tov,pf,orb,drb,rpg,apg,spg,bpg,ppg,pick,conference,college,CollegeBudgetFile,latitude,longitude,ExpensesMensBasketball,RevenueMensBasketball
Lauri Markkanen,U of A,37,30.8,5,10.2,0.492,1.9,4.4,0.423,3.7,4.4,0.835,1.1,2,2.4,4.8,7.2,0.9,0.4,0.5,15.6,7,PAC-12,Arizona,University of Arizona,32.2327247,-110.9508944,22548661,43272457
Rondae Hollis-Jefferson,U of A,38,28.7,3.6,7.2,0.502,0.2,0.8,0.207,3.8,5.4,0.707,1.6,2.5,2,4.8,6.8,1.6,1.2,0.8,11.2,23,PAC-12,Arizona,University of Arizona,32.2327247,-110.9508944,22548661,43272457
Stanley Johnson,U of A,38,28.4,4.6,10.3,0.446,1.1,3.1,0.371,3.5,4.7,0.742,2.2,2.6,2,4.5,6.5,1.7,1.5,0.4,13.8,8,PAC-12,Arizona,University of Arizona,32.2327247,-110.9508944,22548661,43272457
Damyean Dotson,U of H,32,34.3,6.3,13.4,0.47,3.4,7.6,0.443,1.4,1.7,0.83,1,1.7,1.5,5.4,6.9,1.1,0.9,0.2,17.4,44,PAC-12,Oregon,University of Oregon,44.0637862,-123.0787724,33024841,72146320
Chinanu Onuaku,U of L,31,24.6,4.4,7.1,0.62,0,0,0,1.1,1.8,0.589,2.1,3,2.9,5.5,8.5,1.6,0.8,2,9.9,37,ACC,Louisville,University of Louisville,38.2157954,-85.7614322,44057106,47327709
Donovan Mitchell,U of L,34,32.3,5.3,13.1,0.408,2.4,6.6,0.354,2.6,3.2,0.806,1.6,2.6,1.1,3.8,4.9,2.7,2.1,0.5,15.6,13,ACC,Louisville,University of Louisville,38.2157954,-85.7614322,44057106,47327709
Montrezl Harrell,U of L,35,35.1,6.1,10.7,0.566,0.3,1.1,0.243,3.3,5.5,0.597,2,2.1,3.2,6,9.2,1.4,0.9,1.2,15.7,32,ACC,Louisville,University of Louisville,38.2157954,-85.7614322,44057106,47327709
Terry Rozier,U of L,36,35,5.9,14.5,0.411,1.3,4.4,0.306,3.9,4.9,0.79,2.2,1.7,1.2,4.4,5.6,3,2,0.2,17.1,16,ACC,Louisville,University of Louisville,38.2157954,-85.7614322,44057106,47327709
Delon Wright,U of U,35,33.3,4.7,9.3,0.509,0.7,2.1,0.356,4.4,5.2,0.836,1.9,1.4,1,4,4.9,5.1,2.1,1,14.5,20,PAC-12,Utah,University of Utah,40.7650458,-111.8489555,29262589,63181908
Kyle Kuzma,U of U,29,30.8,6.3,12.4,0.504,0.9,2.9,0.321,2.9,4.4,0.669,2.1,1.6,2.8,6.6,9.3,2.4,0.6,0.5,16.4,27,PAC-12,Utah,University of Utah,40.7650458,-111.8489555,29262589,63181908
Collin Sexton,UA,33,29.9,5.9,13.3,0.447,1.3,4,0.336,5.9,7.6,0.778,2.8,2.5,1,2.7,3.8,3.6,0.8,0.1,19.2,8,SEC,Alabama,The University of Alabama,33.2096093,-87.5466476,69718059,94604899
Jacob Evans,UC,36,30.8,4.5,10.5,0.427,1.7,4.5,0.37,2.4,3.2,0.754,1.8,2,1.4,3.3,4.7,3.1,1.3,1,13,28,American,Cincinnati,University of Cincinnati-Main Campus,39.1343961,-84.5184317,14998887,14998887
Aaron Holiday,UCLA,33,37.7,6.4,13.9,0.461,2.7,6.2,0.429,4.8,5.8,0.828,3.8,2.6,0.5,3.2,3.7,5.8,1.3,0.2,20.3,23,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
Jaylen Hands,UCLA,33,31.2,4.8,11.6,0.413,2,5.4,0.373,2.6,3.3,0.78,3.2,1.2,0.4,3.3,3.7,6.1,1.3,0.2,14.2,56,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
Jonah Bolden,UCLA,31,21.7,1.6,4,0.415,0.3,1.2,0.25,1.1,1.5,0.733,0.8,2.1,1.2,3.7,4.8,1.1,0.7,0.9,4.6,36,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
Kevon Looney,UCLA,36,30.9,4.2,8.9,0.47,0.6,1.5,0.415,2.6,4.1,0.626,1.2,2.9,3.4,5.8,9.2,1.4,1.3,0.9,11.6,30,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
Lonzo Ball,UCLA,36,35.1,5.2,9.5,0.551,2.2,5.4,0.412,1.8,2.7,0.673,2.5,1.8,0.9,5.1,6,7.6,1.8,0.8,14.6,2,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
Norman Powell,UCLA,36,34.6,5.9,13,0.456,1.1,3.3,0.319,3.5,4.7,0.751,2.2,2.5,0.6,4.1,4.7,2.1,1.8,0.4,16.4,46,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
T.J. Leaf,UCLA,35,29.9,6.7,10.9,0.617,0.8,1.7,0.466,2.1,3,0.679,1.5,2.5,2.2,6,8.2,2.4,0.6,1.1,16.3,18,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
Thomas Welsh,UCLA,33,33.2,4.9,10.1,0.485,1.4,3.4,0.402,1.5,1.8,0.828,1,2.4,2.6,8.2,10.8,1.4,0.7,0.9,12.6,58,PAC-12,UCLA,University of California-Los Angeles,34.0725988,-118.439277,35463068,41288698
Daniel Hamilton,UConn,36,32,4.4,11.4,0.387,1.3,3.9,0.331,2.4,2.8,0.86,2.4,1.8,0.9,8,8.9,4.7,1.1,0.4,12.5,56,American,UConn,University of Connecticut,41.8088143,-72.2498767,16224408,16224408
Marcus Thornton,UGA,31,29.2,4.4,9.1,0.48,0.3,1,0.3,3.3,4.8,0.691,1.5,3,1.7,5.6,7.3,1,0.7,1.1,12.3,45,Colonial,William & Mary,College of William and Mary,37.271949,-76.709328,7073588,7073588
Nicolas Claxton,UGA,32,31.6,4.3,9.3,0.46,0.6,2,0.281,3.8,6,0.641,2.1,2.8,2.2,6.3,8.6,1.8,1.1,2.5,13,31,SEC,Georgia,University of Georgia,33.9562553,-83.3740399,49207808,123073722
Aaron White,UI,34,31.5,5,9.6,0.521,0.6,1.7,0.356,5.7,7,0.819,1.2,1.6,2.1,5.2,7.3,1.4,1.3,0.5,16.4,49,Big Ten,Iowa,University of Iowa,41.661897,-91.5364924,36838032,81037375
Andrew Harrison,UK,39,25.5,2.6,6.8,0.378,0.9,2.4,0.383,3.2,4.1,0.792,1.6,1.8,0.3,1.9,2.2,3.6,1,0.2,9.3,44,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Bam Adebayo,UK,38,30.2,4.5,7.5,0.599,0,0,0,4.1,6.2,0.653,1.7,2.6,3.1,4.9,8,0.8,0.7,1.5,13,14,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Dakari Johnson,UK,39,16.3,2,4,0.506,0,0,0,2.3,3.7,0.625,1.1,1.8,1.7,2.9,4.6,0.7,0.4,0.9,6.4,48,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
De'Aaron Fox,UK,36,29.6,5.9,12.4,0.479,0.5,1.9,0.246,4.3,5.9,0.736,2.4,2.5,0.6,3.4,4,4.6,1.5,0.2,16.7,5,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Devin Booker,UK,38,21.5,3.6,7.6,0.47,1.5,3.7,0.411,1.4,1.7,0.828,1,1.5,0.4,1.6,2,1.1,0.4,0.1,10,13,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Hamidou Diallo,UK,37,24.8,3.6,8.5,0.428,0.7,2.1,0.338,2.1,3.4,0.616,1.4,2.6,0.9,2.8,3.6,1.2,0.8,0.4,10,45,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Jamal Murray,UK,36,35.2,6.8,14.9,0.454,3.1,7.7,0.408,3.3,4.2,0.783,2.3,2.1,1.5,3.7,5.2,2.2,1,0.3,20,7,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Karl-Anthony Towns,UK,39,21.1,3.7,6.6,0.566,0.1,0.2,0.25,2.8,3.4,0.813,1.4,2.9,2.4,4.3,6.7,1.1,0.5,2.2,10.3,1,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Keldon Johnson,UK,37,30.7,4.6,10.1,0.461,1.2,3.2,0.381,2.9,4.2,0.703,1.6,2.2,1.3,4.5,5.9,1.6,0.8,0.2,13.5,29,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Kevin Knox,UK,37,32.4,5.3,11.9,0.445,1.5,4.5,0.341,3.4,4.4,0.774,2.3,2.2,0.9,4.5,5.4,1.4,0.8,0.3,15.6,9,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Malik Monk,UK,38,32.1,6.6,14.7,0.45,2.7,6.9,0.397,3.9,4.7,0.822,2,1.9,0.3,2.2,2.5,2.3,0.9,0.5,19.8,11,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Shai Gilgeous-Alexander,UK,37,33.7,4.9,10.2,0.485,0.6,1.5,0.404,3.9,4.7,0.817,2.7,1.7,0.9,3.2,4.1,5.1,1.6,0.5,14.4,11,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Trey Lyles,UK,36,23,3.2,6.7,0.487,0.1,0.8,0.138,2.1,2.8,0.735,1.1,1.6,1.8,3.4,5.2,1.1,0.5,0.4,8.7,12,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Tyler Herro,UK,37,32.6,5,10.9,0.462,1.6,4.6,0.355,2.4,2.5,0.935,1.6,1.3,0.4,4.1,4.5,2.5,1.1,0.3,14,13,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Tyler Ulis,UK,35,36.8,5.5,12.6,0.434,1.6,4.6,0.344,4.8,5.6,0.856,2,1.8,0.5,2.5,3,7,1.5,0.1,17.3,34,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
Willie Cauley-Stein,UK,39,25.9,3.5,6.1,0.572,0,0,0,2,3.3,0.617,1.2,2,2.3,4.2,6.4,1,1.2,1.7,8.9,6,SEC,Kentucky,University of Kentucky,38.0380607,-84.5071374,31446474,41366437
D.J. Wilson,UM,38,30.4,4.3,8,0.538,1.1,2.9,0.373,1.3,1.6,0.833,1.1,1.9,1.5,3.8,5.3,1.3,0.5,1.5,11,17,Big Ten,Michigan,University of Michigan-Ann Arbor,42.2758739,-83.7427632,47430574,122270243
Davon Reed,UM,33,35.3,4.9,11.3,0.433,2.4,6,0.397,2.7,3.3,0.833,2,1.6,0.8,3.9,4.8,2.4,1.3,0.5,14.9,32,ACC,Miami (FL),University of Miami,25.7178924,-80.2746368,56257383,56257383
Dewan Hernandez,UM,32,25.8,4.6,8,0.576,0,0.1,0,2.2,3.2,0.689,1.4,1.9,2,4.6,6.7,0.4,0.5,1,11.4,59,ACC,Miami (FL),University of Miami,25.7178924,-80.2746368,56257383,56257383
Ignas Brazdeikis,UM,37,29.6,5.1,11,0.462,1.5,3.9,0.392,3.1,4.1,0.773,1.2,2.1,1.2,4.3,5.4,0.8,0.7,0.5,14.8,47,Big Ten,Michigan,University of Michigan-Ann Arbor,42.2758739,-83.7427632,47430574,122270243
Jordan Poole,UM,37,33.1,4.4,10,0.436,2,5.5,0.369,2,2.4,0.833,1.5,2,0.2,2.8,3,2.2,1.1,0.2,12.8,28,Big Ten,Michigan,University of Michigan-Ann Arbor,42.2758739,-83.7427632,47430574,122270243
Lonnie Walker,UM,32,27.8,4.1,9.9,0.415,1.8,5.1,0.346,1.5,2,0.738,1.2,1.6,0.4,2.2,2.6,1.9,0.9,0.5,11.5,18,ACC,Miami (FL),University of Miami,25.7178924,-80.2746368,56257383,56257383
Cady Lalanne,UMass,32,29,4.3,7.8,0.552,0.1,0.6,0.167,2.8,4.5,0.636,2.6,2.7,3.4,6.1,9.5,0.3,0.6,1.9,11.6,55,Atlantic 10,UMass,University of Massachusetts-Amherst,42.3861771,-72.5266757,10347538,10347538
Bruno Fernando,UMD,34,30,5.1,8.4,0.607,0.1,0.3,0.3,3.3,4.3,0.779,2.8,2.7,2.9,7.7,10.6,2,0.6,1.9,13.6,34,Big Ten,Maryland,University of Maryland-College Park,38.9859963,-76.9398645,28507867,46592593
Diamond Stone,UMD,35,22.6,4.8,8.4,0.568,0,0,0,2.9,3.8,0.761,1.5,2.3,2.2,3.2,5.4,0.4,0.5,1.6,12.5,40,Big Ten,Maryland,University of Maryland-College Park,38.9859963,-76.9398645,28507867,46592593
Jake Layman,UMD,36,31.4,3.9,7.8,0.5,1.6,4,0.396,2.2,2.6,0.832,1.7,1.9,1,4.2,5.2,1.1,1.1,1,11.6,47,Big Ten,Maryland,University of Maryland-College Park,38.9859963,-76.9398645,28507867,46592593
Justin Jackson,UMD,33,27.8,3.5,8.1,0.438,1.4,3.2,0.438,2,2.9,0.698,1.6,2.2,1.8,4.3,6,0.9,0.9,0.8,10.5,15,ACC,UNC,University of North Carolina at Chapel Hill,35.9132961,-79.050072,23127138,39314461
Kevin Huerter,UMD,32,34.4,5.1,10.1,0.503,2.3,5.5,0.417,2.3,3.1,0.758,2.5,2.4,1,4.1,5,3.4,0.6,0.7,14.8,19,Big Ten,Maryland,University of Maryland-College Park,38.9859963,-76.9398645,28507867,46592593
Brice Johnson,UNC,40,28,6.7,10.9,0.614,0,0,0,3.6,4.6,0.783,1.8,2.6,2.9,7.5,10.4,1.4,1.1,1.5,16.9,25,ACC,UNC,University of North Carolina at Chapel Hill,35.9132961,-79.050072,23127138,39314461
Cameron Johnson,UNC,36,29.9,5.9,11.6,0.506,2.7,5.8,0.457,2.5,3.1,0.818,1.5,1.5,1.8,3.9,5.8,2.4,1.2,0.3,16.9,11,ACC,UNC,University of North Carolina at Chapel Hill,35.9132961,-79.050072,23127138,39314461
Coby White,UNC,35,28.5,5.4,12.7,0.423,2.3,6.6,0.353,3,3.7,0.8,2.7,1.9,0.3,3.2,3.5,4.1,1.1,0.3,16.1,7,ACC,UNC,University of North Carolina at Chapel Hill,35.9132961,-79.050072,23127138,39314461
J.P. Tokoto,UNC,38,29.1,3.1,7.1,0.428,0.3,0.8,0.375,1.9,3.1,0.615,2.2,2.4,1.6,4,5.6,4.3,1.5,0.3,8.3,58,ACC,UNC,University of North Carolina at Chapel Hill,35.9132961,-79.050072,23127138,39314461
Marcus Paige,UNC,34,31.6,4.1,10.4,0.398,2.2,6.1,0.356,2.1,2.7,0.774,1.2,1.5,0.4,2.1,2.5,3.8,1.1,0.4,12.6,55,ACC,UNC,University of North Carolina at Chapel Hill,35.9132961,-79.050072,23127138,39314461
Nassir Little,UNC,36,18.2,3.6,7.6,0.478,0.4,1.4,0.269,2.1,2.8,0.77,1.3,1.6,1.6,3,4.6,0.6,0.5,0.5,9.8,25,ACC,UNC,University of North Carolina at Chapel Hill,35.9132961,-79.050072,23127138,39314461
Isaiah Roby,UNL,35,31.3,4.2,9.3,0.454,0.8,2.4,0.333,2.6,3.8,0.677,2,3.2,1.9,5,6.9,1.9,1.3,1.9,11.8,45,Big Ten,Nebraska,University of Nebraska-Lincoln,40.8175693,-96.7005013,34574999,94336296
Patrick McCaw,UNLV,33,33.7,5.1,10.9,0.465,2.1,5.6,0.366,2.5,3.2,0.774,2.1,2.2,1.2,4,5.1,3.9,2.5,0.4,14.7,38,Mountain West,UNLV,University of Nevada-Las Vegas,36.1065217,-115.1444487,9768926,9768926
Stephen Zimmerman,UNLV,26,26.2,3.9,8.2,0.477,0.2,0.7,0.294,2.4,3.9,0.624,2.1,3,2.2,6.6,8.7,0.8,0.5,2,10.5,41,Mountain West,UNLV,University of Nevada-Las Vegas,36.1065217,-115.1444487,9768926,9768926
Cody Martin,UNR,34,34.4,4.4,8.8,0.505,1,2.8,0.358,2.2,2.9,0.763,1.9,2.5,0.9,3.5,4.5,4.9,1.4,0.7,12.1,36,Mountain West,Nevada,University of Nevada-Reno,39.5438691,-119.8185305,10710232,10710232
Dillon Brooks,UO,35,25.3,5.9,12.1,0.488,1.6,4.1,0.401,2.7,3.6,0.754,2.1,2.8,1,2.2,3.2,2.7,1.1,0.5,16.1,45,PAC-12,Oregon,University of Oregon,44.0637862,-123.0787724,33024841,72146320
Joe Young,UO,36,36.7,7.4,16.4,0.448,2.5,7.1,0.357,3.4,3.7,0.925,2.4,1.4,0.5,3.9,4.4,3.8,1.1,0,20.7,43,PAC-12,Oregon,University of Oregon,44.0637862,-123.0787724,33024841,72146320
Jordan Bell,UO,39,28.8,4.4,6.9,0.636,0.1,0.4,0.214,2.1,3,0.701,1.9,1.7,2.9,5.9,8.8,1.8,1.3,2.3,10.9,38,PAC-12,Oregon,University of Oregon,44.0637862,-123.0787724,33024841,72146320
Tyler Dorsey,UO,39,30,4.8,10.4,0.467,2.3,5.3,0.423,2.7,3.6,0.755,1.5,1.5,0.8,2.6,3.5,1.7,0.8,0.1,14.6,41,PAC-12,Oregon,University of Oregon,44.0637862,-123.0787724,33024841,72146320
Chimezie Metu,USC,34,31,6,11.5,0.523,0.4,1.2,0.3,3.3,4.5,0.73,2,2.6,1.9,5.6,7.4,1.6,0.8,1.7,15.7,49,PAC-12,USC,University of Southern California,34.0309703,-118.2789735,32124522,50046008
De'Anthony Melton,USC,36,27,2.8,6.4,0.437,0.6,2.1,0.284,2.1,3,0.706,1.8,2.2,1.4,3.3,4.7,3.5,1.9,1,8.3,46,PAC-12,USC,University of Southern California,34.0309703,-118.2789735,32124522,50046008
Sindarius Thornwell,USC,31,34,6.3,14.2,0.444,1.9,4.8,0.392,6.9,8.4,0.83,2.5,2.3,2.5,4.6,7.1,2.8,2.1,1,21.4,48,SEC,South Carolina,University of South Carolina-Columbia,33.9937575,-81.0299186,36206781,65004536
Admiral Schofield,UT,37,31.8,6.4,13.6,0.474,2,4.8,0.418,1.6,2.3,0.698,1.9,2.5,1.2,5,6.1,2,0.9,0.5,16.5,42,SEC,Tennessee,The University of Tennessee-Knoxville,35.9520732,-83.9258338,35170599,91022335
Grant Williams,UT,37,31.9,6.3,11.2,0.564,0.4,1.2,0.326,5.8,7,0.819,2.2,3,2.2,5.3,7.5,3.2,1.1,1.5,18.8,22,SEC,Tennessee,The University of Tennessee-Knoxville,35.9520732,-83.9258338,35170599,91022335
Jarrett Allen,UT,33,32.1,5.4,9.6,0.566,0,0.2,0,2.5,4.5,0.564,2.5,2.1,3,5.4,8.4,0.8,0.6,1.5,13.4,22,Big 12,Texas,The University of Texas at Austin,30.2861062,-97.7393634,43200270,156147208
Jaxson Hayes,UT,32,23.3,3.8,5.3,0.728,0,0,0,2.3,3.1,0.74,0.9,3.3,1.8,3.2,5,0.3,0.6,2.2,10,8,Big 12,Texas,The University of Texas at Austin,30.2861062,-97.7393634,43200270,156147208
Jordan Bone,UT,37,32.9,5,10.8,0.465,1.4,3.8,0.355,2.1,2.5,0.835,2,1.3,0.5,2.7,3.2,5.8,0.7,0.1,13.5,57,SEC,Tennessee,The University of Tennessee-Knoxville,35.9520732,-83.9258338,35170599,91022335
Josh Richardson,UT,32,36.3,5.8,12.5,0.461,1.4,4,0.359,3.1,3.9,0.798,2.7,2.5,0.9,3.6,4.5,3.6,2.1,0.5,16,40,SEC,Tennessee,The University of Tennessee-Knoxville,35.9520732,-83.9258338,35170599,91022335
Mohamed Bamba,UT,30,30.2,4.9,9,0.541,0.5,1.7,0.275,2.7,4,0.681,1.5,2.5,3.2,7.3,10.5,0.5,0.8,3.7,12.9,6,Big 12,Texas,The University of Texas at Austin,30.2861062,-97.7393634,43200270,156147208
Myles Turner,UT,34,22.2,3.4,7.6,0.455,0.5,1.8,0.274,2.8,3.3,0.839,1.4,2.4,1.3,5.2,6.5,0.6,0.3,2.6,10.1,11,Big 12,Texas,The University of Texas at Austin,30.2861062,-97.7393634,43200270,156147208
Kevin Hervey,UTA,33,32.2,7.4,16.5,0.446,2.3,6.9,0.339,3.4,4.2,0.807,2.7,1.8,2.3,6.2,8.5,2.2,1.2,0.6,20.5,57,Sun Belt,UT Arlington,The University of Texas at Arlington,32.7305706,-97.1250836,0,0
De'Andre Hunter,UVA,38,32.5,5.4,10.4,0.52,1.2,2.8,0.438,3.2,4.1,0.783,1.4,2,1.4,3.7,5.1,2,0.6,0.6,15.2,4,ACC,Virginia,University of Virginia-Main Campus,38.0370443,-78.5026341,26280855,33726985
Devon Hall,UVA,34,32.1,3.9,8.6,0.454,1.7,3.9,0.432,2.2,2.5,0.894,1,1.4,0.4,3.9,4.2,3.1,0.9,0.1,11.7,53,ACC,Virginia,University of Virginia-Main Campus,38.0370443,-78.5026341,26280855,33726985
Justin Anderson,UVA,26,27.8,4,8.5,0.466,1.8,4,0.452,2.5,3.2,0.78,1.2,1.2,0.7,3.4,4,1.7,0.7,0.5,12.2,21,ACC,Virginia,University of Virginia-Main Campus,38.0370443,-78.5026341,26280855,33726985
Kyle Guy,UVA,38,35.4,5.2,11.6,0.449,3.2,7.4,0.426,1.8,2.2,0.833,1.4,1,0.7,3.8,4.5,2.1,0.7,0.1,15.4,55,ACC,Virginia,University of Virginia-Main Campus,38.0370443,-78.5026341,26280855,33726985
Malcolm Brogdon,UVA,37,34.1,6.2,13.6,0.457,2,5.2,0.391,3.8,4.2,0.897,1.4,2.1,0.5,3.5,4.1,3.1,0.9,0.2,18.2,36,ACC,Virginia,University of Virginia-Main Campus,38.0370443,-78.5026341,26280855,33726985
Ty Jerome,UVA,37,34,4.8,11.1,0.435,2.1,5.4,0.399,1.8,2.5,0.736,1.6,1.8,0.5,3.8,4.2,5.5,1.5,0,13.6,24,ACC,Virginia,University of Virginia-Main Campus,38.0370443,-78.5026341,26280855,33726985
Dejounte Murray,UW,34,33.5,5.9,14.3,0.416,1,3.5,0.288,3.2,4.9,0.663,3.2,2.6,1.4,4.6,6,4.5,1.8,0.3,16.1,29,PAC-12,Washington,University of Washington-Seattle Campus,47.6565538,-122.3127075,40474139,84041770
Frank Kaminsky,UW,39,33.6,6.8,12.5,0.547,1.1,2.6,0.416,4,5.1,0.78,1.6,1.7,1.5,6.7,8.2,2.6,0.8,1.5,18.8,9,Big Ten,Wisconsin,University of Wisconsin-Madison,43.075486,-89.4043511,31714090,89944636
Jaylen Nowell,UW,36,34.4,6.1,12.1,0.502,1.4,3.2,0.44,2.6,3.4,0.779,2.9,2.2,1,4.3,5.3,3.1,1.3,0.2,16.2,43,PAC-12,Washington,University of Washington-Seattle Campus,47.6565538,-122.3127075,40474139,84041770
Justin James,UW,32,38.2,7.1,17.4,0.409,1.6,5.3,0.296,6.2,8.4,0.741,4.2,2.1,1,7.5,8.5,4.4,1.5,0.6,22.1,40,Mountain West,Wyoming,University of Wyoming,41.3140214,-105.5846008,13649998,13649998
Markelle Fultz,UW,25,35.7,8.4,17.6,0.476,2.1,5,0.413,4.4,6.7,0.649,3.2,2.5,1.3,4.4,5.7,5.9,1.6,1.2,23.2,1,PAC-12,Washington,University of Washington-Seattle Campus,47.6565538,-122.3127075,40474139,84041770
Marquese Chriss,UW,34,24.9,5.3,10,0.531,0.6,1.8,0.35,2.6,3.8,0.685,2,4.1,2.5,2.9,5.4,0.8,0.9,1.6,13.8,8,PAC-12,Washington,University of Washington-Seattle Campus,47.6565538,-122.3127075,40474139,84041770
Matisse Thybulle,UW,36,31.1,3.1,7.5,0.415,1.3,4.2,0.305,1.6,1.9,0.851,1.8,2.8,0.8,2.3,3.1,2.1,3.5,2.3,9.1,20,PAC-12,Washington,University of Washington-Seattle Campus,47.6565538,-122.3127075,40474139,84041770
Sam Dekker,UW,40,31,5.3,10.2,0.525,1.2,3.8,0.331,2,2.8,0.708,0.9,1.1,1.9,3.6,5.5,1.2,0.5,0.5,13.9,18,Big Ten,Wisconsin,University of Wisconsin-Madison,43.075486,-89.4043511,31714090,89944636
Alec Peters,VAL,29,35.1,7.5,16.1,0.466,2,5.5,0.362,5.9,6.7,0.887,2.4,2.2,2.6,7.6,10.1,2.2,0.8,0.4,23,54,Missouri Valley,Valparaiso,Valparaiso University,41.4602103,-87.0366594,1182843,1221085
Darrun Hilliard,VILL,35,28.8,4.9,11,0.44,2.3,5.8,0.387,2.3,2.9,0.796,1.2,2.2,0.5,2.7,3.1,2.1,1.8,0.3,14.3,38,Big East,Villanova,Villanova University,40.0369846,-75.3444079,6765161,6765161
Donte DiVincenzo,VILL,40,29.2,4.7,9.8,0.481,2.1,5.3,0.401,1.9,2.7,0.71,2,2.1,1.1,3.6,4.8,3.5,1.1,0.2,13.4,17,Big East,Villanova,Villanova University,40.0369846,-75.3444079,6765161,6765161
Eric Paschall,VILL,36,36.1,5.4,12.1,0.447,1.9,5.6,0.348,3.8,5,0.746,2.3,2.1,1.3,4.9,6.1,2.1,0.7,0.5,16.5,41,Big East,Villanova,Villanova University,40.0369846,-75.3444079,6765161,6765161
Jalen Brunson,VILL,40,31.8,6.8,12.9,0.521,2.1,5.3,0.408,3.2,4,0.802,1.8,1.9,0.3,2.8,3,4.6,0.9,0,18.9,33,Big East,Villanova,Villanova University,40.0369846,-75.3444079,6765161,6765161
Josh Hart,VILL,36,33.1,6.6,12.9,0.51,2.1,5.1,0.404,3.5,4.7,0.747,2,2.2,1.4,5,6.4,2.9,1.6,0.3,18.7,30,Big East,Villanova,Villanova University,40.0369846,-75.3444079,6765161,6765161
Mikal Bridges,VILL,40,32.1,6.1,11.9,0.514,2.6,6,0.435,2.9,3.4,0.851,1.4,2.1,1.4,4,5.3,1.9,1.5,1.1,17.6,10,Big East,Villanova,Villanova University,40.0369846,-75.3444079,6765161,6765161
Omari Spellman,VILL,40,28.1,4,8.4,0.476,1.6,3.8,0.433,1.2,1.8,0.7,1,2.3,2.2,5.8,8,0.8,0.7,1.5,10.8,30,Big East,Villanova,Villanova University,40.0369846,-75.3444079,6765161,6765161
Nickeil Alexander-Walker,VT,34,34.3,5.6,11.8,0.474,1.7,4.6,0.374,3.3,4.2,0.778,2.9,2.3,0.5,3.6,4.1,4,1.9,0.5,16.2,17,ACC,Virginia Tech,Virginia Polytechnic Institute and State University,37.2290053,-80.4236441,30123282,56224912
Damian Jones,VU,33,26.2,5.6,9.5,0.59,0,0.1,0,2.7,5.1,0.536,2,3.3,2.2,4.6,6.9,1.2,0.2,1.6,13.9,30,SEC,Vanderbilt,Vanderbilt University,36.1490297,-86.802263,28610632,32108897
Darius Garland,VU,5,27.8,5.8,10.8,0.537,2.2,4.6,0.478,2.4,3.2,0.75,3,1.4,0.4,3.4,3.8,2.6,0.8,0.4,16.2,5,SEC,Vanderbilt,Vanderbilt University,36.1490297,-86.802263,28610632,32108897
John Collins,WF,33,26.6,7.1,11.4,0.622,0,0,0,5,6.7,0.745,1.8,3,3.8,6.1,9.8,0.5,0.6,1.6,19.2,19,ACC,Wake Forest,Wake Forest University,36.1348359,-80.2708623,21462286,26722457
Joel Bolomboy,WSU,33,31.6,5.8,10.2,0.573,0.6,1.7,0.364,4.8,6.9,0.697,2.4,2.2,3.3,9.3,12.6,1.1,0.7,1.2,17.1,52,Big Sky,Weber State,Weber State University,41.1932522,-111.9460552,4092794,4092794
Landry Shamet,WSU,32,31.7,4.8,9.8,0.489,2.6,5.9,0.442,2.7,3.2,0.825,2.1,1.9,0.4,2.8,3.2,5.2,0.7,0.2,14.9,26,American,Wichita State,Wichita State University,37.716465,-97.2955956,0,0
