player,team,gp,mpg,fgm,fga,fg_pct,threepm,threepa,three_pct,ftm,fta,ft_pct,tov,pf,orb,drb,rpg,apg,spg,bpg,ppg,pick,conference,college,CollegeBudgetFile,latitude,longitude,ExpensesMensBasketball,RevenueMensBasketball
Luke Kennard,DUKE,37,35.5,6.4,13.1,0.49,2.4,5.4,0.438,4.3,5.1,0.856,1.6,2.2,1.2,3.9,5.1,2.5,0.8,0.4,19.5,12,ACC,Duke,Duke University,36.0014258,-78.9382286,28806459,40328603
Tyus Jones,DUKE,39,33.9,3.5,8.3,0.417,1.2,3.2,0.379,3.7,4.2,0.889,1.9,1.2,0.5,3,3.5,5.6,1.5,0.1,11.8,24,ACC,Duke,Duke University,36.0014258,-78.9382286,28806459,40328603
Zion Williamson,DUKE,33,30,9,13.2,0.68,0.7,2.2,0.338,3.9,6.2,0.64,2.4,2.1,3.5,5.4,8.9,2.1,2.1,1.8,22.6,1,ACC,Duke,Duke University,36.0014258,-78.9382286,28806459,40328603
Tyler Harvey,EWU,32,36.9,7.2,15.3,0.469,4,9.3,0.431,4.7,5.5,0.852,2,1.9,0.6,3,3.6,2.6,1.1,0.1,23.1,51,Big Sky,Eastern Washington,Eastern Washington University,47.4901128,-117.5797878,6739278,6739277
Dwayne Bacon,FSU,35,28.8,6.3,14,0.452,1.6,4.9,0.333,3,3.9,0.754,2,1.6,1,3.2,4.2,1.7,1,0.1,17.2,40,ACC,Florida State,Florida State University,30.4404775,-84.2908283,68893857,68893857
Jonathan Isaac,FSU,32,26.2,4.1,8,0.508,1,2.8,0.348,2.9,3.7,0.78,1.5,2.2,1.8,6.1,7.8,1.2,1.2,1.5,12,6,ACC,Florida State,Florida State University,30.4404775,-84.2908283,68893857,68893857
Malik Beasley,FSU,34,29.8,5.4,11.6,0.471,1.6,4.2,0.387,3.1,3.8,0.812,1.7,2.2,1.3,4,5.3,1.5,0.9,0.2,15.6,19,ACC,Florida State,Florida State University,30.4404775,-84.2908283,68893857,68893857
Mfiondu Kabengele,FSU,37,21.6,4.4,8.8,0.502,0.6,1.8,0.369,3.7,4.9,0.761,1.3,2.6,2.1,3.8,5.9,0.3,0.6,1.5,13.2,27,ACC,Florida State,Florida State University,30.4404775,-84.2908283,68893857,68893857
Terance Mann,FSU,37,31.7,4,7.9,0.505,0.8,2.1,0.39,2.6,3.4,0.79,1.8,2.2,2.5,4,6.5,2.5,0.7,0.3,11.4,48,ACC,Florida State,Florida State University,30.4404775,-84.2908283,68893857,68893857
R.J. Hunter,GSU,35,37,5.8,14.7,0.395,2.3,7.5,0.305,5.8,6.6,0.878,2.2,2.4,0.8,3.9,4.7,3.6,2.1,1,19.7,28,Sun Belt,Georgia State University,Georgia State University,33.7534327,-84.3859072,8267631,8267631
Josh Okogie,GT,24,36.4,5.5,13.3,0.416,1.6,4.2,0.38,5.5,6.8,0.821,2.5,2.9,2.2,4,6.2,2.5,1.8,1,18.2,20,ACC,Georgia Tech,Georgia Institute of Technology-Main Campus,33.7724173,-84.3947916,29744089,42553892
Brandon Clarke,GU,37,28.1,6.9,10.1,0.687,0.1,0.4,0.267,2.9,4.2,0.694,1.5,2.1,3.1,5.5,8.6,1.9,1.2,3.1,16.9,21,West Coast,Gonzaga,Gonzaga University,47.6664473,-117.4015208,0,0
Domantas Sabonis,GU,36,31.9,6.6,10.9,0.611,0.1,0.4,0.357,4.2,5.4,0.769,2.6,3.2,3.1,8.8,11.8,1.8,0.6,0.9,17.6,11,West Coast,Gonzaga,Gonzaga University,47.6664473,-117.4015208,0,0
Nigel Williams-Goss,GU,38,32.7,5.8,11.9,0.486,1.1,3.1,0.368,4.1,4.8,0.867,2.2,1.6,0.6,5.4,6,4.7,1.7,0.1,16.8,55,West Coast,Gonzaga,Gonzaga University,47.6664473,-117.4015208,0,0
Rui Hachimura,GU,37,30.2,7.4,12.6,0.591,0.4,1,0.417,4.4,6,0.739,1.8,2,1.4,5.1,6.5,1.5,0.9,0.7,19.7,9,West Coast,Gonzaga,Gonzaga University,47.6664473,-117.4015208,0,0
Zach Collins,GU,39,17.2,3.5,5.3,0.652,0.3,0.5,0.476,2.8,3.8,0.743,1.5,2.7,1.7,4.2,5.9,0.4,0.5,1.8,10,10,West Coast,Gonzaga,Gonzaga University,47.6664473,-117.4015208,0,0
Justin Wright-Foreman,HOF,35,37.7,9.4,18.5,0.511,3.1,7.4,0.425,5.1,5.9,0.864,2.6,1.9,0.3,3.7,4,2.9,0.9,0.2,27.1,53,Colonial,Hofstra,Hofstra University,40.7166872,-73.5993965,0,0
Abdel Nader,ISU,35,31.1,4.6,9.6,0.478,1.5,4,0.371,2.2,3,0.736,2.3,2.8,0.7,4.2,5,1.5,1.1,0.7,12.9,58,Big 12,Iowa State,Iowa State University,42.0266573,-93.6464516,26960124,51931511
Georges Niang,ISU,35,33.2,8.1,14.8,0.546,1.6,4.1,0.392,2.7,3.4,0.807,2.6,3.2,1.3,4.9,6.2,3.3,0.9,0.6,20.5,50,Big 12,Iowa State,Iowa State University,42.0266573,-93.6464516,26960124,51931511
Marial Shayok,ISU,34,32.9,6.7,13.6,0.496,2.1,5.4,0.386,3.2,3.6,0.878,2.7,2.1,1.4,3.5,4.9,2,0.9,0.2,18.7,54,Big 12,Iowa State,Iowa State University,42.0266573,-93.6464516,26960124,51931511
Monte Morris,ISU,35,35.3,6.2,13.3,0.465,1.5,4.1,0.378,2.5,3.2,0.802,1.2,1.5,1.1,3.7,4.8,6.2,1.5,0.3,16.4,51,Big 12,Iowa State,Iowa State University,42.0266573,-93.6464516,26960124,51931511
Talen Horton-Tucker,ISU,35,27.2,4.4,10.9,0.406,1.4,4.5,0.308,1.6,2.5,0.625,1.7,2.3,0.7,4.2,4.9,2.3,1.3,0.7,11.8,46,Big 12,Iowa State,Iowa State University,42.0266573,-93.6464516,26960124,51931511
Romeo Langford,IU,32,34.1,5.5,12.3,0.448,1.1,3.9,0.272,4.4,6.1,0.722,2.1,1.9,1.4,4,5.4,2.3,0.8,0.8,16.5,14,Big Ten,Indiana,Indiana University-Bloomington,39.166111,-86.5267824,24216483,52577443
Thomas Bryant,IU,34,28.1,4.4,8.4,0.519,0.7,1.8,0.383,3.2,4.4,0.73,2.3,3.1,2.2,4.4,6.6,1.5,0.8,1.5,12.6,42,Big Ten,Indiana,Indiana University-Bloomington,39.166111,-86.5267824,24216483,52577443
Wesley Iwundu,KSU,35,31.4,4.3,9,0.481,0.9,2.4,0.376,3.5,4.5,0.767,2.3,1.8,1,5.3,6.3,3.5,1,0.3,13,33,Big 12,Kansas State,Kansas State University,39.1886244,-96.5810747,20549475,46167900
Devonte' Graham,KU,39,37.8,5.1,12.8,0.4,2.8,6.9,0.406,4.3,5.2,0.827,2.8,1.4,0.6,3.4,4,7.2,1.6,0.1,17.3,34,Big 12,Kansas,University of Kansas,38.958542,-95.2476138,25325279,38148252
Frank Mason,KU,36,36.1,6.7,13.7,0.49,2.3,4.8,0.471,5.2,6.6,0.794,2.4,2,0.6,3.6,4.2,5.2,1.3,0.1,20.9,34,Big 12,Kansas,University of Kansas,38.958542,-95.2476138,25325279,38148252
Josh Jackson,KU,35,30.8,6.3,12.3,0.513,1,2.6,0.378,2.8,4.9,0.566,2.8,3,2.3,5.1,7.4,3,1.7,1.1,16.3,4,Big 12,Kansas,University of Kansas,38.958542,-95.2476138,25325279,38148252
