School,Latitude,Longitude,State,REV_MEN,EXP_MEN,Sports
Vanderbilt University,36.1490297,-86.802263,TN,10876435,9901818,Basketball
Vanderbilt University,36.1490297,-86.802263,TN,32108897,28610632,Football
Villanova University,40.0369846,-75.3444079,PA,14428932,14428932,Basketball
Villanova University,40.0369846,-75.3444079,PA,6765161,6765161,Football
Virginia Commonwealth University,37.5496312,-77.4526597,VA,8833917,6102633,Basketball
Virginia Polytechnic Institute and State University,37.2290053,-80.4236441,VA,9886728,8525606,Basketball
Virginia Polytechnic Institute and State University,37.2290053,-80.4236441,VA,56224912,30123282,Football
Virginia State University,37.2364644,-77.4198758,VA,693049,693049,Basketball
Virginia State University,37.2364644,-77.4198758,VA,1502282,1502282,Football
Wagner College,40.6149557,-74.0943823,NY,1520014,1487551,Basketball
Wagner College,40.6149557,-74.0943823,NY,3671611,3636726,Football
Wake Forest University,36.1348359,-80.2708623,NC,9148670,8805630,Basketball
Wake Forest University,36.1348359,-80.2708623,NC,26722457,21462286,Football
Washburn University,39.03334,-95.7015649,KS,703633,703633,Basketball
Washburn University,39.03334,-95.7015649,KS,1720702,1720702,Football
Washington State University,46.7304151,-117.1581928,WA,6171373,5483898,Basketball
Washington State University,46.7304151,-117.1581928,WA,45338410,22052168,Football
Weber State University,41.1932522,-111.9460552,UT,1913406,1913406,Basketball
Weber State University,41.1932522,-111.9460552,UT,4092794,4092794,Football
West Virginia University,39.6480359,-79.9697147,WV,8484584,10798893,Basketball
West Virginia University,39.6480359,-79.9697147,WV,24692746,22290035,Football
Western Carolina University,35.3111601,-83.1881927,NC,1089269,1089269,Basketball
Western Carolina University,35.3111601,-83.1881927,NC,2921553,2921553,Football
Western Kentucky University,36.9833474,-86.4579446,KY,3455918,3455918,Basketball
Western Kentucky University,36.9833474,-86.4579446,KY,8151383,8151383,Football
Western Michigan University,42.2837337,-85.6102504,MI,2243842,2243842,Basketball
Western Michigan University,42.2837337,-85.6102504,MI,9257979,9257979,Football
Wichita State University,37.716465,-97.2955956,KS,8182863,8182863,Basketball
Xavier University,39.148913,-84.4795628,OH,13916975,7406374,Basketball
Yale University,41.3108107,-72.9228177,CT,1416853,1416853,Basketball
Yale University,41.3108107,-72.9228177,CT,4247553,4247118,Football
Youngstown State University,41.1066413,-80.6480952,OH,1555175,1555175,Basketball
Youngstown State University,41.1066413,-80.6480952,OH,4349972,4349972,Football
