Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Justin Drummond,U of T,33,29.4,4.4,9.2,0.479,0.9,2.3,0.387,3.4,4.4,0.779,2.0,2.7,1.1,3.5,4.6,1.9,0.7,0.5,13.1
Chris Horton,APSU,30,34.5,4.7,10.3,0.45799999999999996,0.0,0.0,0.0,3.6,5.2,0.6920000000000001,2.5,2.1,4.5,6.6,11.1,1.4,1.2,2.3,13.1
Tayler Persons,NKU,30,28.7,4.9,11.2,0.436,0.3,1.8,0.185,3.0,3.9,0.763,2.6,2.5,1.0,3.6,4.6,3.7,1.1,0.1,13.1
Marcus Colbert,MSU,30,30.2,4.3,10.0,0.425,1.7,3.9,0.424,2.9,3.8,0.7609999999999999,3.1,2.6,0.8,2.4,3.1,4.7,0.9,0.0,13.1
Marcus Tyus,UNO,23,27.9,4.5,9.3,0.488,1.4,3.3,0.44,2.6,3.7,0.7020000000000001,1.9,3.0,1.2,2.6,3.7,2.0,1.0,0.1,13.0
Arlon Harper,CSU,30,30.9,4.6,11.6,0.39799999999999996,1.7,4.9,0.342,2.1,3.1,0.677,1.5,2.2,0.7,3.4,4.1,2.2,1.8,0.4,13.0
Troy Williams,IU,32,27.6,5.0,9.3,0.54,0.2,0.4,0.462,2.8,3.8,0.742,2.2,2.2,2.2,5.2,7.4,2.0,1.0,0.5,13.0
Evan Singletary,ALB,33,34.9,4.2,10.2,0.41200000000000003,1.8,4.6,0.401,2.8,3.5,0.809,2.0,2.1,0.4,3.2,3.6,2.8,0.8,0.2,13.0
Phil Greene IV,STJ,33,34.8,5.0,11.7,0.426,1.9,4.9,0.391,1.2,1.6,0.722,1.1,0.9,0.5,2.7,3.2,1.6,0.9,0.0,13.0
Adrian Diaz,FIU,33,31.3,5.0,8.2,0.603,0.0,0.0,0.0,3.1,5.3,0.574,2.6,3.8,3.2,3.7,6.9,1.3,0.9,3.0,13.0
Ryan Bowie,UTSA,30,33.7,4.7,10.6,0.442,2.1,5.7,0.365,1.6,2.3,0.696,1.4,2.3,2.0,3.9,5.8,1.9,1.2,0.3,13.0
D'Shon Taylor,NSU,34,31.8,4.3,9.5,0.45,1.5,4.1,0.355,3.0,4.4,0.675,1.7,2.7,1.6,3.4,5.0,1.3,0.8,0.7,13.0
Elgin Cook,UO,36,29.4,4.7,9.0,0.52,0.1,0.6,0.25,3.5,4.8,0.731,2.2,3.2,1.4,3.8,5.2,1.6,1.1,0.2,13.0
Dwight Meikle,HU,29,27.8,5.3,10.2,0.519,0.3,0.9,0.29600000000000004,2.2,3.2,0.677,2.7,3.1,2.1,5.4,7.5,0.7,0.8,1.5,13.0
T.J. Wallace,PAC,29,30.8,4.3,10.8,0.39899999999999997,1.2,3.7,0.336,3.1,4.2,0.74,2.8,3.4,1.5,4.1,5.6,2.6,0.7,0.1,13.0
Terry Allen,RICH,35,31.2,4.9,9.5,0.514,0.5,1.9,0.242,2.8,3.7,0.748,1.9,2.2,1.6,5.1,6.7,1.3,1.4,0.7,13.0
Marquis Vance,ASU,32,33.6,4.1,10.9,0.377,0.7,2.6,0.28,4.0,5.9,0.674,1.9,2.2,2.1,5.7,7.8,1.7,0.7,0.7,13.0
Will Saunders,CSU,30,27.6,4.1,9.9,0.414,3.2,7.8,0.408,1.6,2.2,0.716,1.3,3.0,1.5,4.5,6.0,1.0,0.7,0.2,13.0
Kadeem Jack,RU,30,31.0,5.1,12.0,0.42700000000000005,0.5,1.6,0.312,2.2,3.8,0.579,2.6,2.3,2.5,3.9,6.4,1.1,0.9,0.7,13.0
