Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Sarp Gobeloglu,MSU,31,20.2,2.9,6.5,0.45,1.7,4.5,0.391,0.8,0.9,0.828,1.2,2.3,0.9,2.7,3.5,0.6,0.2,0.5,8.4
Kadeem Allen,U of A,34,24.9,2.9,6.3,0.465,0.5,1.5,0.36,2,2.8,0.705,2,2.4,0.2,2.9,3.1,3.6,1,0.8,8.4
Willie Atwood,ASU,32,27.1,2.4,6.1,0.398,1,3.2,0.314,2.5,3.2,0.784,0.9,3,1.6,2.8,4.3,1.4,0.5,0.3,8.4
Race Parsons,SUU,24,28.1,2.7,6.6,0.409,1.6,4.1,0.388,1.4,1.9,0.717,1,2.3,1.1,2.8,3.9,1.5,0.5,0.3,8.4
C.J. Bobbitt,UD,24,22.4,2.9,6.5,0.449,0.3,1.3,0.226,2.2,3.4,0.659,2.2,3,0.9,2.9,3.8,1.7,0.7,0.2,8.4
Jalen Hudson,VT,35,20,2.8,7.1,0.401,0.8,2.3,0.346,1.9,2.9,0.67,1.4,1.9,0.6,1.7,2.3,0.6,0.6,0.1,8.4
Kristinn Palsson,MAR,30,31.7,2.8,7.4,0.378,2.2,6.3,0.354,0.5,0.9,0.571,1.1,2.9,0.4,3.9,4.3,1.2,0.7,0.2,8.4
Lionheart Leslie,CSUF,29,24.8,2.7,6.2,0.436,0.7,2.2,0.292,2.3,3.2,0.713,1.4,2.7,0.7,2.4,3.1,1.8,1,0,8.3
Antonio Jenifer,SFC,32,24.4,2.7,6.7,0.407,0.9,3.1,0.283,2,2.8,0.722,1.5,2.8,1.8,4.4,6.2,1,0.6,0.7,8.3
Rasheed Brooks,UM,32,27.5,3.2,8.5,0.371,1.4,4.6,0.297,0.7,1.2,0.553,0.9,2,0.6,2.7,3.3,1.6,1.3,0.3,8.3
Marshall Plumlee,DUKE,36,30.5,2.9,4.3,0.688,0,0,0,2.4,4.2,0.575,1.1,2.8,3.3,5.2,8.6,1.1,0.8,1.6,8.3
Josh Brown,TEM,33,36.2,3,7.3,0.412,0.8,2.4,0.346,1.5,2.1,0.735,1.4,2,0.4,4.4,4.8,4.9,1.2,0.5,8.3
Franz Rassman,L-MD,30,24.3,3.5,6.9,0.512,0.1,0.9,0.111,1.2,1.9,0.614,1.3,2.9,1.3,3.4,4.8,0.7,0.5,0.8,8.3
Anthony Elechi,MSU,37,18.9,3.2,6.1,0.533,0,0,0,1.8,2.4,0.782,1,3.4,2.7,2.8,5.5,0.4,0.4,0.3,8.3
Rapheal Davis,PU,31,29.7,2.7,7.1,0.382,1.1,3,0.355,1.8,2.5,0.731,1.4,1.9,0.7,3.2,3.9,2.3,0.4,0.4,8.3
Antwoine Anderson,FORD,28,24.6,2.8,6,0.461,0.6,1.9,0.321,2.2,3.2,0.681,2.4,2.8,0.4,1.9,2.2,2.6,1.1,0.3,8.3
Jaron Martin,UCI,38,19.9,2.8,7.1,0.387,1.6,4.1,0.394,1.2,1.6,0.75,1,1.3,0.3,1.1,1.4,1.4,0.6,0,8.3
Mike Rowley,ALB,33,28.9,3.2,5.4,0.581,0,0,0,2,2.8,0.725,1.6,2.8,2.6,3.9,6.5,1.2,1,0.3,8.3
Jeremy Miller,NU,33,20.6,2.9,5.7,0.511,0.9,2.5,0.373,1.5,2,0.761,1,3.1,1.4,2.6,3.9,0.4,0.4,0.8,8.3
Phillip Anglade,VMI,30,25.6,3.8,7.1,0.533,0,0,0,0.8,2.4,0.324,1,3.3,2.6,2.8,5.4,0.5,0.8,1.6,8.3
Vasa Pusica,USD,30,26.3,2.9,6.5,0.441,0.8,2.2,0.385,1.7,2.3,0.754,2,2,0.6,3.4,4,2.5,0.7,0.1,8.3
Maverick Morgan,U of I,34,21.1,3.6,6.5,0.564,0,0,0,1,1.4,0.739,1.1,1.9,1,2.5,3.5,0.6,0.4,0.5,8.3
Manroop Clair,SEA,31,21.5,2.6,7,0.376,2.2,5.9,0.375,0.8,0.9,0.857,0.9,1.2,0.1,1.4,1.5,0.5,0.4,0,8.3
Kam Williams,OSU,35,21.9,3.1,7,0.443,1.5,3.4,0.437,0.6,0.7,0.846,0.5,1.1,0.4,1.4,1.8,0.8,0.7,0.1,8.3
Jerry Johnson,FU,28,19.1,2.7,6.1,0.436,1.5,3.8,0.402,1.4,2,0.696,1.4,1.3,0.4,2.2,2.7,1.4,0.8,0.1,8.3
Cullen Hamilton,HC,35,27.5,3,7.7,0.392,0.8,2.6,0.308,1.5,1.9,0.776,1.1,1.6,0.5,1.8,2.3,1.7,0.7,0,8.3
Anthony Lindauer,HP,32,25.9,2.8,6.8,0.408,1.4,3.6,0.388,1.3,1.5,0.894,1.3,1.9,0.2,2.8,3,2,1.1,0.2,8.3
Mike Rodriguez,SIU,32,28.6,2.7,6.4,0.417,0.6,1.9,0.306,2.4,3.8,0.628,1.6,2.2,0.3,1.7,2,2.9,1.2,0.1,8.3
Brandon Gfeller,UM,33,23.7,2.5,6.3,0.389,2.2,5.6,0.389,1.2,1.5,0.78,0.8,2.8,0.4,1.8,2.2,1.1,0.6,0.2,8.3
Jake Kretzer,AKR,34,25,2.6,6.1,0.431,2.2,5.2,0.418,0.8,0.9,0.871,0.6,2.2,1,3.1,4.1,1.3,0.6,0.1,8.3
Aubrey Williams,KENN,31,22.2,2.8,5.2,0.537,0,0,0,2.7,3.8,0.718,1,2.7,2.5,3.8,6.3,0.8,0.8,0.5,8.3
Dashawn King,UMKC,31,19.4,2.9,6.8,0.431,0.5,1.7,0.264,1.9,2.7,0.706,1.8,2,1.1,1.7,2.8,1.7,1,0.1,8.3
Ryan Kemrite,LIB,32,28.6,2.8,6.3,0.443,1.8,4.4,0.407,0.8,1.3,0.643,0.9,3,1,3,4,0.9,0.7,0.1,8.2
Eric Robertson,USD,32,20.5,3.2,6.9,0.471,0.1,0.1,0.5,1.7,2.1,0.806,0.8,2.4,1.1,2.1,3.2,0.3,0.4,0.6,8.2
Jovante' Spivey,SHSU,34,24.6,2.3,6.4,0.353,0.9,2.9,0.293,2.9,4.1,0.703,1.4,2.1,0.6,1.7,2.4,2.5,0.7,0.1,8.2
Daiquan Walker,UCF,30,28.2,2.7,7.1,0.38,1.1,3,0.371,1.7,2.1,0.812,2.1,1.5,0.6,2.8,3.4,3.8,1.1,0.1,8.2
Jeffrey Carroll,OSU,30,24.8,2.9,7.1,0.41,1.3,4,0.333,1.1,1.6,0.702,1.2,1.4,0.6,3.4,4,0.6,0.6,0.3,8.2
Duran Porter,ACU,31,19.8,3.3,5.7,0.585,0,0,0,1.6,2.4,0.653,1.4,2.8,1.2,2.5,3.7,0.6,0.3,0.9,8.2
Ryan Frazier,BU,31,26.9,2.4,6.1,0.384,1,2.7,0.365,2.5,3.1,0.804,1.1,2.2,0.3,1.3,1.6,1.8,0.6,0,8.2
Ja'Michael Brown,UNT,32,27.1,2.9,7.2,0.404,1.7,4.4,0.393,0.7,1.4,0.489,1.8,2.2,0.5,2,2.6,2.5,1.2,0,8.2
DeJuan Marrero,MSU,37,24.3,3.2,6.9,0.467,0,0,0,1.7,3.3,0.52,2,2.9,2.6,4.5,7.2,1.3,1.1,0.6,8.2
Miles Reynolds,SLU,29,20.4,2.2,5.1,0.436,0.2,0.8,0.273,3.5,4.5,0.785,1.8,2.2,0.3,1.9,2.2,2.5,1,0.1,8.2
DeAngelo Stewart,IPFW,34,21,2.8,6.3,0.439,1.8,4.2,0.43,0.9,1.3,0.698,0.8,1.6,0.6,2.9,3.5,0.8,0.3,0.4,8.2
Kedar Edwards,UTM,31,24.3,3,7.5,0.403,0.8,3,0.28,1.4,2.3,0.6,1.8,1.8,2.7,4.4,7.1,1.6,1.5,0.5,8.2
Jaelan Sanford,U of T,32,27.5,2.6,6.1,0.428,1.5,4.2,0.353,1.5,1.8,0.814,1,1.8,0.4,1.6,2,1.8,0.7,0.2,8.2
Carlin Dupree,NDSU,27,27.7,3.1,6.9,0.457,0.3,1.2,0.281,1.6,2.6,0.592,1.9,1.7,0.6,2.7,3.3,2,1.5,0.1,8.2
Antoine Pittman,BU,29,27.4,2.8,7.7,0.363,0.9,3,0.284,1.7,2.3,0.758,2.1,2.8,0.8,1.4,2.3,1.2,0.8,0.2,8.2
Kyndahl Hill,WSU,35,23.2,3,4.9,0.616,0,0.3,0.1,2.1,2.7,0.76,1.1,2.7,1.9,4,5.9,0.9,0.5,1,8.2
Max Bielfeldt,IU,35,17.5,3.2,6.3,0.516,0.8,1.8,0.453,0.9,1.3,0.705,1.1,2.1,1.7,2.8,4.5,0.7,0.8,0.5,8.2
Matija Milin,FU,31,19.9,3,6,0.497,0.6,2.1,0.288,1.5,2.2,0.696,1.1,2.5,1.1,2.5,3.7,1,0.3,0.4,8.2
Luke Meyer,CMU,33,21.4,3.3,5.8,0.57,0.3,1.1,0.278,1.2,1.6,0.736,0.5,2.8,1.7,3,4.7,0.2,0.5,1.1,8.2
Reveal Chukwujekwu,HBU,34,23.3,2.8,5.6,0.503,0.3,0.9,0.367,2.2,3.1,0.724,2,1.5,1.6,3.4,5,1.5,0.6,0.1,8.1
