Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Jake Wiley,EWU,34,34.3,7.8,12.1,0.642,0.1,0.2,0.714,4.7,5.6,0.828,3.8,3,2.8,6.3,9.1,2.4,0.8,2.8,20.4
Josh Robinson,APSU,29,36.6,6.4,14.7,0.439,2.4,6.7,0.366,5,6.1,0.824,2.6,1.9,0.3,2.6,3,3.5,1,0.1,20.3
Eric Mika,BYU,34,28.6,6.9,13,0.528,0,0,0,6.6,8.7,0.763,2.5,2.7,3.1,6.1,9.2,1.6,0.6,1.9,20.3
Nisre Zouzoua,BU,31,35.5,6.7,16.4,0.409,3,8.1,0.367,3.9,5,0.769,1.9,2.7,0.9,3.2,4.2,1.5,1.5,0.4,20.3
Evan Bradds,BEL,29,31.9,8,12.9,0.625,0.1,0.3,0.444,3.8,5.1,0.75,2.9,2.6,1.9,6.5,8.4,2.3,0.4,0.2,20
Garret Covington,WIU,28,34.8,6.4,15.3,0.416,3.1,8.1,0.377,4.1,4.7,0.878,2.9,1.8,0.4,3.2,3.6,3.2,0.8,0.1,19.9
Peter Jok,UI,32,30.7,6.2,14.6,0.426,2.6,6.9,0.38,4.8,5.3,0.911,2.5,2.2,0.9,4.6,5.5,2.6,1.1,0.1,19.9
Jalen Ross,UHA,29,34.6,6,15.6,0.383,2.4,6.6,0.359,5.6,6.7,0.826,2.9,1.4,0.3,3.2,3.4,2.1,1.3,0,19.9
Malik Monk,UK,38,32.1,6.6,14.7,0.45,2.7,6.9,0.397,3.9,4.7,0.822,2,1.9,0.3,2.2,2.5,2.3,0.9,0.5,19.8
Jon Elmore,MU,35,35.1,6,14.5,0.412,2.4,6.7,0.352,5.4,6.7,0.807,3.1,1.8,0.6,3.7,4.3,5.9,1.1,0.2,19.7
Marcus Marshall,UNR,35,35.4,5.9,13.9,0.421,3.3,8.7,0.38,4.7,5.7,0.828,1.7,2.1,0.3,2.1,2.5,3.7,0.9,0.1,19.7
Justin Robinson,MU,34,33.2,6.2,14.9,0.417,2.8,7,0.403,4.4,5.1,0.856,2.6,1.6,0.6,3.2,3.8,4.8,1.4,0.1,19.7
Mike Young,PITT,33,33.2,6.6,14.5,0.454,1.3,3.7,0.344,5.2,6.7,0.778,2.1,1.8,1.6,5.2,6.8,2.7,0.6,0.8,19.6
Ike Smith,GSU,33,30.5,7,14,0.499,1.8,4.7,0.396,3.8,5.9,0.651,2.2,2.2,1.1,4.2,5.2,1.7,1.4,0.6,19.6
Q.J. Peterson,VMI,30,31.7,6.7,15.5,0.431,2.6,7.1,0.368,3.7,5.2,0.712,2.6,2,1.7,4.8,6.5,2.4,1.6,0.1,19.6
Jonathan Williams,U of T,32,34.3,6.6,15,0.443,2.1,6.5,0.319,4.3,5.3,0.817,2.7,2.1,0.7,2.3,3,3.2,0.8,0.1,19.6
Jon Davis,CHAR,30,35.2,6.5,13.6,0.482,1.6,4.3,0.38,4.9,6.3,0.782,3.1,1.6,0.3,3.1,3.4,4.2,1.1,0.3,19.6
Jacolby Mobley,UTM,29,35.3,6.3,14.9,0.421,3.3,8.9,0.367,3.7,4.7,0.781,2,2,0.8,2.1,2.9,2.1,1,0.1,19.5
Luke Kennard,DUKE,37,35.5,6.4,13.1,0.49,2.4,5.4,0.438,4.3,5.1,0.856,1.6,2.2,1.2,3.9,5.1,2.5,0.8,0.4,19.5
Tyler Nelson,FU,31,36.1,6.3,14.3,0.443,2.6,6.7,0.391,4.2,4.9,0.856,2.2,1.7,0.7,2.4,3.2,3.6,1.1,0.1,19.5
Jordan Howard,UCA,32,34.3,5.9,13.7,0.431,3.2,7.1,0.445,4.5,5.1,0.889,2.5,1.1,0.3,3.3,3.6,2.9,1.1,0.1,19.5
Jordan Davis,UNC,29,33.7,7.3,14.8,0.491,0.9,2.9,0.298,4,6.6,0.602,4.3,2.9,0.7,4.1,4.8,5.6,1.2,0.5,19.4
Jonathan Wade,NSU,34,34.9,6.4,13.2,0.484,1.8,4.7,0.384,4.8,6.4,0.748,3.2,2.1,1.6,5.2,6.8,1.9,0.6,0.1,19.4
Patrick Cole,NCCU,33,35.3,6.2,16,0.384,2,5.9,0.34,5,6.6,0.756,3.8,2.4,1.2,5.8,7,5.6,0.9,0.2,19.3
Erik Thomas,UNO,32,32.6,7,11.8,0.588,0.1,0.5,0.235,5.2,6.6,0.783,2.8,2.1,3,4.8,7.8,2.3,1.5,0.3,19.2
Quinton Hooker,UND,32,36.1,6.3,13.5,0.468,2.6,5.9,0.444,4,4.6,0.865,1.8,2.2,0.8,3.8,4.6,3.6,1.8,0.2,19.2
Thomas Wilder,WMY,32,31.7,6.2,13.4,0.458,2,4.4,0.444,5,6,0.832,2,2.4,0.4,3.8,4.3,3.8,1.3,0.4,19.2
Daniel Dixon,W&M,30,29.5,6.3,13,0.482,2.4,6.4,0.378,4.2,4.9,0.87,2.2,2.8,0.9,3.8,4.7,2.5,0.7,0.3,19.2
Dedric Lawson,UM,32,34.5,6.8,14.7,0.461,0.9,3.5,0.27,4.8,6.4,0.741,2.4,2.5,2.9,7,9.9,3.3,1.3,2.1,19.2
Jawun Evans,OSU,32,29.2,6.6,15.1,0.438,1.1,3,0.379,4.8,6,0.812,2.8,2.3,0.8,2.7,3.4,6.4,1.8,0.1,19.2
John Collins,WF,33,26.6,7.1,11.4,0.622,0,0,0,5,6.7,0.745,1.8,3,3.8,6.1,9.8,0.5,0.6,1.6,19.2
T.J. Cromer,ETSU,35,31.7,6.4,14,0.456,3,7.5,0.406,3.3,4,0.82,2.8,2.4,0.5,2.4,2.8,3.2,1,0.4,19.1
Semi Ojeleye,SMU,35,34.1,6,12.3,0.487,2.1,4.9,0.424,4.9,6.3,0.785,1.4,1.8,2.3,4.6,6.9,1.5,0.4,0.4,19
Marcus Evans,RU,35,31.7,5.6,13.3,0.425,2.5,6.5,0.376,5.3,6.7,0.787,3.7,2.6,0.4,2.9,3.3,3.7,1.1,0.1,19
Mark Alstork,WRST,32,30.2,5.7,14.1,0.4,2.2,5.7,0.387,5.5,6.5,0.846,4.2,2.9,0.8,3.9,4.7,3.5,0.8,0.6,19
Jimmy Hall,KSU,36,32.6,7.4,14.2,0.52,0.1,0.6,0.15,4.1,5.2,0.777,2.9,2.9,4.1,6.5,10.6,2.6,0.9,1.4,19
Quincy McKnight,SHU,32,32.5,6.3,14.8,0.429,0.8,2.6,0.321,5.4,6.9,0.775,4.6,2.9,0.8,4.1,4.9,3,1.6,0.2,18.9
Jairus Lyles,UMBC,32,34.6,6.6,14.8,0.442,1.4,4.4,0.319,4.3,6,0.728,2.2,1.6,1.3,5.3,6.6,2.6,1.7,0,18.9
Nick Dixon,UTRGV,32,27.4,6.3,12.1,0.521,0.9,2.7,0.326,5.4,7.1,0.765,2.9,2.3,1.5,3.5,5.1,3.4,1.9,0.1,18.8
J.J. Frazier,UGA,34,34.6,5.9,14.4,0.406,1.6,5.3,0.304,5.5,6.2,0.886,2.4,2.4,0.4,3.4,3.8,4.1,1.9,0.1,18.8
Fred Sims,CSU,31,34.5,6.8,18.8,0.361,2.3,7.3,0.314,3,3.7,0.807,2.3,1.6,0.7,3.9,4.6,1.5,1,0.3,18.8
Elijah Brown,UNM,31,32.3,5.4,14.1,0.379,2.2,6.6,0.33,5.9,7.1,0.827,3.1,2,0.4,4.8,5.2,3.1,1.3,0.1,18.8
Josh Hart,VILL,36,33.1,6.6,12.9,0.51,2.1,5.1,0.404,3.5,4.7,0.747,2,2.2,1.4,5,6.4,2.9,1.6,0.3,18.7
Jerome Robinson,BC,32,34,6.7,15.7,0.423,1.7,5.1,0.333,3.7,5.1,0.722,3.2,2.8,0.6,3.2,3.9,3.4,1.7,0.4,18.7
Matt Mooney,USD,34,31.1,6.5,14.2,0.46,2.2,6.1,0.367,3.4,4.7,0.717,2.5,1.9,0.4,4.1,4.5,2.1,2.2,0.1,18.6
Torian Graham,ASU,33,34.7,7,15.5,0.448,3.3,8.5,0.387,1.4,1.7,0.821,1.3,1.5,0.6,3.6,4.2,1.2,0.9,0.3,18.6
Fletcher Magee,WC,33,33.3,5.9,13.6,0.438,3.4,8,0.423,3.3,3.7,0.893,1.7,1.3,0.3,3,3.3,1.8,0.7,0.1,18.6
Nick Mayo,EKU,31,35.2,6.5,13,0.504,1,2.6,0.39,4.4,5.7,0.774,3,2.5,1.5,5,6.5,2.8,0.9,1.3,18.5
Matt Mobley,STBN,32,38.3,5.5,13.1,0.42,2.7,7.1,0.379,4.8,5.6,0.861,2.3,2.4,0.5,5.3,5.8,2.6,1.6,0.3,18.5
T.J. Cline,RICH,35,32.6,6.9,13.4,0.517,1.4,4.3,0.316,3.3,4.7,0.687,2.9,2.5,0.9,6.9,7.8,5.6,0.9,0.2,18.5
Brandon Goodwin,FGC,34,31.6,6.4,12.6,0.512,1.6,4.6,0.353,4,5.1,0.791,2.1,2.1,0.8,3.7,4.5,4.1,1.2,0.1,18.5
Trevon Bluiett,XAV,36,35.1,5.9,13.4,0.439,2.5,6.8,0.373,4.2,5.5,0.754,2.2,2.4,0.7,4.9,5.7,2.1,0.9,0.1,18.5
Andrew White,SU,34,37.2,5.9,13.3,0.44,3.3,8.2,0.401,3.5,4.1,0.837,1.6,2.1,0.8,3.8,4.6,1.1,1.6,0.4,18.5
Caleb Swanigan,PU,35,32.5,6.3,12,0.527,1.1,2.4,0.447,4.7,6,0.781,3.4,2.8,2.7,9.7,12.5,3,0.4,0.8,18.5
Jahad Thomas,UML,31,33.9,7.2,12.3,0.589,0.1,0.1,1,3.8,5.6,0.676,3.8,3,2.3,6.7,9,4.6,1.6,0.3,18.3
Tyler Cavanaugh,GW,35,32.2,5.7,12.7,0.448,1.9,4.7,0.409,4.9,5.8,0.848,2.7,2.8,2.5,5.9,8.4,2,0.5,0.4,18.3
Justin Jackson,UNC,40,32,6.6,14.9,0.443,2.6,7.1,0.37,2.5,3.3,0.748,1.7,1.4,1.4,3.2,4.7,2.8,0.8,0.2,18.3
Donte McGill,FIU,27,33.8,6.7,15.3,0.439,1,2.9,0.329,3.9,4.2,0.929,2.1,2.4,1.9,1.7,3.6,1.1,1.4,0.1,18.3
Marcus Foster,CU,35,30.9,7,15.2,0.461,2.1,6.1,0.341,2.1,3.1,0.701,2.2,2,0.3,2.6,2.9,2.4,0.6,0.1,18.2
Yante Maten,UGA,29,29,6.2,11.9,0.519,0.7,1.5,0.488,5.1,7.2,0.716,2.5,2.8,2.5,4.3,6.8,1.5,0.7,1.5,18.2
Egor Koulechov,RU,35,34,5.9,12.5,0.474,2.3,4.9,0.474,4,4.9,0.819,2,2,1.8,7.1,8.9,2.1,0.8,0.3,18.2
Jamel Artis,PITT,32,34.3,6.1,12.9,0.475,2.3,5.9,0.392,3.6,4.9,0.734,2.6,1.9,1.2,3.6,4.9,3.3,0.4,0.3,18.2
Dennis Smith,NCST,32,34.8,6,13.1,0.455,1.7,4.8,0.359,4.5,6.2,0.715,3.4,2.1,0.8,3.8,4.6,6.2,1.9,0.4,18.1
Justin Wright-Foreman,HOF,32,28.3,6.5,13.2,0.493,2.1,5.6,0.372,3,4,0.764,1.4,1.8,0.7,2.9,3.6,1.6,0.8,0.1,18.1
Jared Brownridge,SCU,33,37.1,5.8,14.1,0.409,3.2,8.7,0.369,3.4,4.2,0.81,1.7,2.1,0.3,2.4,2.7,2.8,1,0.1,18.1
Derrick White,CU,34,32.8,6,11.9,0.507,1.7,4.2,0.396,4.4,5.4,0.813,2.4,2.1,1,3.1,4.1,4.4,1.2,1.4,18.1
Matt Morgan,COR,28,32.4,5.9,12.9,0.456,3.1,8.2,0.376,3.2,3.8,0.857,2.5,2.1,0.5,4.1,4.6,2.1,0.8,0.2,18.1
Rodney Pryor,GU,32,32.6,6.6,13.8,0.48,2.6,6.4,0.412,2.2,2.9,0.734,1.7,2.3,1,4,5,1.3,0.8,0.7,18
Jordan Washington,IC,35,21.7,6.7,12.1,0.552,0,0.1,0.25,4.6,6.7,0.686,2.2,3.5,2.4,5.2,7.6,0.6,0.9,0.4,18
Ahmad Thomas,UNCA,33,33,7.4,13.5,0.544,1.1,2.5,0.457,2.1,3.7,0.569,2.1,2.6,1.4,4.9,6.3,2.3,3,0.5,18
Khallid Hart,MAR,32,35.5,5.8,12.7,0.457,2,5.4,0.368,4.3,5.4,0.792,1.6,2.1,0.3,2.3,2.7,2.3,1.1,0.2,17.9
David Nichols,ALB,35,33.8,7.1,16,0.443,1.5,4.1,0.354,2.2,2.7,0.83,2.7,2.8,0.4,3.1,3.5,3.2,1.2,0.1,17.9
Brandon Tabb,BCU,32,34.4,5.8,15.4,0.379,3.3,9.6,0.345,2.8,3.4,0.826,1.5,3.2,0.8,4.6,5.4,1.7,1.3,0.6,17.8
Lavell Boyd,UMKC,35,31,5.4,13.2,0.41,2.5,6.2,0.403,4.5,5.4,0.832,2.5,2.7,0.5,3.5,4.1,3.9,1.1,0,17.8
Martez Walker,OU,34,33.7,5.7,13.1,0.437,2.1,6.6,0.316,4.2,5.1,0.831,1.9,1.8,1.4,2.6,4,1.4,0.9,0.4,17.8
"Bonzie Colson, Jr.",ND,36,32.1,6.6,12.5,0.526,0.7,1.7,0.433,3.9,5,0.783,1.2,2.2,2.9,7.2,10.1,1.6,1.1,1.4,17.8
Derick Newton,STET,32,31.6,5.8,12.5,0.461,1.9,5.2,0.37,4.3,5.3,0.813,1.8,1.6,1.3,4.4,5.7,1.3,0.6,0.2,17.8
Joe Chealey,C of C,35,33.8,5,11.5,0.431,1.9,4.7,0.392,5.9,7.2,0.822,1.7,2.3,0.5,3.1,3.5,3.2,1,0,17.7
Erik McCree,LTU,33,31.7,6.1,12.8,0.476,1.6,4.5,0.362,3.8,5,0.77,2.5,1.6,1.6,7.3,8.9,1.3,0.5,0.5,17.7
Devin Sibley,FU,34,32.1,5.9,11.3,0.522,2.3,5.2,0.449,3.6,4.8,0.747,2.7,2,0.3,3.9,4.1,2.3,0.8,0.2,17.7
Jaron Blossomgame,CLEM,33,34.3,6.7,13.4,0.499,0.7,2.8,0.255,3.6,5.1,0.714,1.7,1.6,1.8,4.5,6.3,1.5,0.8,0.9,17.7
J.R. Holder,JAC,32,33.8,6.2,12.2,0.514,1.4,3.9,0.363,3.8,5.2,0.719,2.6,1.9,1.1,2.4,3.5,1.9,1.1,0.5,17.7
Ahmaad Rorie,UM,31,32.5,6.2,13.8,0.449,2,5.3,0.384,3.2,3.9,0.833,1.5,2.1,0.8,2.7,3.5,3.1,0.8,0.2,17.6
B.J. Johnson,LU,29,32.6,5.8,12.9,0.449,2.2,6.1,0.362,3.8,4.5,0.838,2.3,2.4,1.3,5,6.3,1,1.1,0.5,17.6
Shawn Prudhomme,SUBR,33,33.4,6.4,14.5,0.442,2.3,6.2,0.366,2.4,3.4,0.714,2,2.7,1.4,4.5,5.9,1.3,1,1,17.5
Preston Parks,CIT,31,27.1,6,14.7,0.406,2.5,7.5,0.329,3.1,3.7,0.828,2.5,2,1,2,3,3.7,1.9,0.2,17.5
Tre' Coggins,CSUF,30,32.2,5.9,14.3,0.413,3,8.3,0.356,2.7,3.3,0.837,2,1.8,0.3,3.2,3.5,1.2,0.9,0.1,17.5
Evan Boudreaux,DART,27,33.5,6.1,14,0.439,1.4,3.9,0.349,3.8,5.5,0.696,3,2.2,2.1,7.5,9.6,0.9,0.7,0.4,17.5
Blake Hamilton,UB,32,30.4,5.9,13.7,0.432,1.8,5,0.369,3.8,4.9,0.777,3.5,2.9,0.8,5.3,6.2,4.4,1,0.5,17.5
Jeffrey Carroll,OSU,33,29.1,6,11.2,0.537,1.8,4,0.444,3.7,4.5,0.807,1.6,1.9,1.9,4.6,6.6,1.2,0.9,0.2,17.5
Joshua Braun,GCU,22,33.7,5,11.1,0.445,2.9,7,0.416,4.6,5.8,0.803,1.5,1.8,1.2,3.4,4.6,1.4,0.5,0.4,17.5
Bakari Copeland,UMES,34,30.2,5.7,12.3,0.465,1.2,2.8,0.421,4.8,6.2,0.774,2.3,2.5,1.1,5,6.1,1.6,0.6,0.2,17.4
Reid Travis,SU,27,30.1,6.5,11.3,0.579,0,0,0,4.4,6.7,0.652,2.1,2.4,3.4,5.4,8.9,0.5,0.5,0.2,17.4
Chandler Hutchison,BSU,32,31.7,6.5,13.1,0.495,0.8,2.2,0.377,3.7,5.5,0.665,2.7,2.7,1.2,6.6,7.8,2.6,1.2,0.2,17.4
Albert Owens,ORU,30,31.1,6.9,14,0.492,0.1,0.4,0.25,3.6,4.9,0.728,2,2.2,2.3,3.3,5.6,1,0.5,1.2,17.4
Christian Keeling,CSU,31,31.3,5.9,12.9,0.459,0.8,2.4,0.342,4.7,6,0.781,1.7,1.7,1.3,5.8,7.1,1.4,0.9,0.3,17.4
B.J. Taylor,UCF,29,36.4,5.7,13.8,0.414,1.7,4.9,0.34,4.3,6,0.72,2.2,2.1,0.4,3.6,4,3.5,1.1,0,17.4
Damyean Dotson,U of H,32,34.3,6.3,13.4,0.47,3.4,7.6,0.443,1.4,1.7,0.83,1,1.7,1.5,5.4,6.9,1.1,0.9,0.2,17.4
C.J. Bryce,UNCW,35,34.3,6.6,13.6,0.484,1.2,3.6,0.331,3,4.4,0.68,1.9,2.3,1.7,3.7,5.4,3,0.9,0.2,17.4
Shamorie Ponds,STJ,33,33.6,5.8,13.2,0.439,2.3,6.1,0.375,3.5,4.3,0.823,1.9,1.8,1.2,3.3,4.4,3.1,2.1,0.2,17.4
Tim Williams,UNM,22,33.5,6.8,12,0.562,0,0.2,0.2,3.8,5.5,0.692,1.8,2,1.9,5,6.9,1.5,0.5,0.6,17.4
Johnathan Motley,BU,34,30.5,6.6,12.7,0.522,0.3,0.9,0.281,3.8,5.4,0.699,2.9,3.1,3.7,6.1,9.9,2.3,0.4,1.1,17.3
Brandon Clarke,SJSU,30,31.9,7.3,12.3,0.592,0,0.1,0.333,2.6,4.6,0.572,1.8,2.6,3,5.7,8.7,2.3,1.2,2.5,17.3
Steven Spieth,BU,30,34.6,5.1,10.5,0.487,1.7,4.1,0.407,5.4,6.1,0.88,3.4,2.8,1.4,4.6,6,3.3,1.4,0.4,17.3
Jacorey Williams,MTSU,36,29.7,7.2,13.4,0.533,0.1,0.4,0.133,2.9,4.1,0.696,1.7,2,1.8,5.6,7.3,1.6,0.9,0.5,17.2
Malcolm Hill,U of I,35,33.3,5.4,12.4,0.434,1.9,5.2,0.355,4.6,5.8,0.784,1.9,2.1,1,4.1,5.1,2.9,1.2,0.4,17.2
Dwayne Bacon,FSU,35,28.8,6.3,14,0.452,1.6,4.9,0.333,3,3.9,0.754,2,1.6,1,3.2,4.2,1.7,1,0.1,17.2
Ria'n Holland,MER,31,31.5,5.7,13.1,0.437,2.5,6.6,0.377,3.3,3.9,0.843,1.4,2.3,0.8,2.5,3.3,1.9,1,0.2,17.2
Antonio Blakeney,LSU,31,32.9,6.3,13.7,0.458,1.7,4.8,0.358,3,4.1,0.724,2.1,1.6,1,3.8,4.8,1.7,0.7,0.1,17.2
Tanner Leissner,UNH,32,34.4,5.8,12.3,0.47,0.7,2.3,0.288,4.9,5.9,0.83,1.8,2.6,2.3,4.6,6.9,1.8,0.5,0.3,17.1
Marcus Tyus,UNO,32,27.5,5.3,11.1,0.482,2.2,5,0.447,4.2,5.1,0.816,2.4,2.8,0.6,2.4,3,1.7,1.6,0.1,17.1
Tookie Brown,GSU,33,34,5.4,13.2,0.406,1.8,5.4,0.345,4.5,5.8,0.767,2.2,2.1,0.2,3.2,3.4,4,1.4,0.3,17.1
Khadeen Carrington,SHU,33,33.3,5.7,13.5,0.424,1.9,5,0.382,3.7,5.1,0.731,2.3,1.9,0.6,2.5,3.1,2.9,1.2,0.3,17.1
Kevin Hervey,UTA,35,27.8,5.9,13,0.458,1.9,5.7,0.342,3.2,4.3,0.753,1.9,1.9,1.4,7.1,8.5,2.1,1.2,0.4,17.1
"James Blackmon, Jr.",IU,30,30.5,5.8,12.2,0.477,3,7.2,0.423,2.4,2.9,0.837,1.9,1.8,1,3.8,4.8,1.9,0.7,0,17
John Murry,APSU,30,30.3,5.5,11.5,0.477,1.4,4,0.345,4.7,5.8,0.809,2.4,1.6,0.5,2.2,2.7,1.5,0.7,0.1,17
Cam Reynolds,TU,31,35.2,5.9,14,0.424,2.5,6.5,0.388,2.6,3.3,0.796,1.5,2.7,1.4,5.4,6.8,1.5,0.8,0.5,17
Tai Webster,UNL,31,34.7,5.9,14,0.421,1.3,4.4,0.294,3.9,5.3,0.744,3.2,2.4,1.1,4,5.1,4,1.4,0.1,17
Matt Scott,NU,33,34.5,5.7,13,0.435,2,5.2,0.376,3.7,5.2,0.718,2.6,2.4,1.7,5.3,7,3,1.4,0.4,17
Khris Lane,LONG,30,34.5,6.9,12.9,0.536,1.1,3.2,0.337,2.1,3.1,0.688,2.3,2.8,1.6,5.6,7.3,1.2,0.8,1.2,17
Omega Harris,UTEP,31,36.4,5.9,13,0.454,1.6,4.2,0.377,3.6,4.5,0.787,2.8,2.2,0.4,3.2,3.6,2.1,1.3,0.2,17
Darian Anderson,FDU,29,33.5,5.7,13.7,0.417,2,5.3,0.368,3.6,4.4,0.82,2.1,2.6,0.7,3.1,3.8,3.2,2,0.2,17
Ethan Telfair,ISU,28,36.2,5.2,15.3,0.34,1.5,4.8,0.316,5,6.5,0.77,3.4,2.1,0.8,3.6,4.3,4.8,2,0.2,17
Marquise Moore,GMU,34,34.9,5.9,12.3,0.483,0.3,1,0.303,4.8,6.8,0.701,2.8,2,1.7,9.1,10.9,3.5,0.9,0.8,16.9
Jock Landale,SMC,34,28.3,6.7,11,0.611,0.1,0.5,0.222,3.4,4.6,0.722,2.1,2.6,3,6.4,9.5,1.7,0.3,1.2,16.9
Ehab Amin,TAMU-CC,36,33.7,6.2,13.5,0.462,1.2,4.1,0.289,3.2,4.5,0.716,2.8,2.8,2,4.6,6.6,2.9,3.4,0.4,16.9
Ervin Mitchell,GSU,30,32.1,5.5,11.7,0.472,1.4,3.5,0.396,4.4,6.3,0.7,2.2,2.8,0.9,2.8,3.6,1,1.3,0.4,16.9
