Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Marcus Keene,CMU,32,36.8,9.8,21.9,0.447,3.9,10.6,0.368,6.5,7.9,0.819,4.5,2,0.7,3.8,4.5,4.9,0.8,0,30
Chris Clemons,CAM,36,33.5,8.4,18.7,0.447,3.3,9.2,0.355,5.1,6.2,0.825,2.8,1.9,0.5,4.1,4.6,2.6,1.9,0.5,25.1
Mike Daum,SDSU,35,32.7,7.8,15.2,0.514,2.3,5.4,0.418,7.2,8.3,0.869,2.8,2.5,2.2,6,8.1,1.4,0.6,0.4,25.1
Dallas Moore,UNF,34,35.1,8.8,18,0.488,2.9,7.4,0.398,3.4,4.1,0.826,2.4,1.1,0.8,2.4,3.1,4,1.1,0.1,23.9
Randy Onwuasor,SUU,33,35,7.7,18.8,0.409,1.8,5.8,0.306,6.5,7.9,0.827,3.4,3.2,1.6,5,6.6,3.2,1.5,0.4,23.6
Markelle Fultz,UW,25,35.7,8.4,17.6,0.476,2.1,5,0.413,4.4,6.7,0.649,3.2,2.5,1.3,4.4,5.7,5.9,1.6,1.2,23.2
Tyler Hall,MSU,32,34.6,7.5,15.8,0.476,3.8,8.8,0.429,4.3,5.2,0.837,2,2.4,0.5,4.8,5.4,2.8,1.1,0.3,23.1
Alec Peters,VAL,29,35.1,7.5,16.1,0.466,2,5.5,0.362,5.9,6.7,0.887,2.4,2.2,2.6,7.6,10.1,2.2,0.8,0.4,23
Cameron Morse,YSU,31,36.2,8.4,20.2,0.415,2.5,7.7,0.319,3.7,5,0.737,2.1,1.4,0.5,2.7,3.2,3.1,1,0.1,22.9
Rashawn Thomas,TAMU-CC,34,33.7,7.9,15,0.524,0.4,1.1,0.378,6.3,8.8,0.721,3.7,3.5,2.3,6.7,9,2.7,1.6,2,22.5
Keon Johnson,WIN,32,35.1,6.9,15.9,0.433,3.2,7.9,0.402,5.3,6.2,0.868,2.3,1.9,0.4,3.5,4,2.6,0.7,0,22.3
Jack Gibbs,DAV,31,36.2,6.9,16.2,0.427,3,7.7,0.392,5.2,6.5,0.797,2.6,2.5,0.7,3.3,4,4.1,1.3,0,22.1
Jonathan Stark,MSU,33,36.6,7.5,17.2,0.438,3.3,7.7,0.425,3.5,4.3,0.83,2.9,2.3,0.3,3.6,3.9,5.2,1.3,0,21.9
T.J. Williams,NU,30,38.2,6.7,14.5,0.463,1.2,3.6,0.333,6.7,8.8,0.762,3.4,2.2,0.8,3.9,4.7,5.3,1,0.1,21.4
Sindarius Thornwell,USC,31,34,6.3,14.2,0.444,1.9,4.8,0.392,6.9,8.4,0.83,2.5,2.3,2.5,4.6,7.1,2.8,2.1,1,21.4
"Lamond Murray, Jr.",PU,31,34.2,8.1,17,0.475,1.6,4.3,0.381,3.5,4.5,0.779,2.6,2.1,1.2,4.5,5.7,1.3,1.1,0.4,21.4
Braylon Rayson,CMU,32,37.2,6.5,17.2,0.381,2.9,8.1,0.36,5.2,6.2,0.848,2.7,2.2,0.8,3.6,4.4,3.2,1.2,0,21.2
Dewayne Russell,GCU,28,38.3,7,17.6,0.4,1.9,4.7,0.397,5.2,6.9,0.758,2.7,2.1,0.5,3.3,3.8,5.4,1.5,0.1,21.2
Kendrick Ray,KENN,31,33.8,7.9,17.5,0.449,2.8,7,0.394,2.6,3.4,0.788,2.6,2.4,1,2.7,3.7,3.1,0.7,0.3,21.2
Jeremy Senglin,WSU,34,35.3,6.9,14.4,0.476,3.9,8.7,0.447,3.6,4.6,0.766,2.4,2.1,0.2,3.7,3.9,2.8,1.1,0,21.1
Tiwian Kendley,MSU,23,32.3,6,16.2,0.373,2.1,6.7,0.31,6.9,8.7,0.786,4.3,2.8,1.8,3.6,5.4,1.2,1.2,0.4,21
Victor Sanders,U of I,32,32.9,6.4,14.2,0.455,3.2,7.2,0.439,4.9,6.3,0.781,3.2,2.8,0.4,2.9,3.3,3.3,1.7,0.3,20.9
Frank Mason,KU,36,36.1,6.7,13.7,0.49,2.3,4.8,0.471,5.2,6.6,0.794,2.4,2,0.6,3.6,4.2,5.2,1.3,0.1,20.9
Jaylon Brown,UE,33,36.8,6.7,14.4,0.463,1.2,2.7,0.427,6.4,7.5,0.858,2.5,2.4,0.5,3.9,4.4,3.1,1,0.1,20.9
Jaylen Adams,STBN,30,37.4,5.6,13.4,0.419,2.6,7.2,0.356,6.9,8.4,0.821,3.4,2.8,0.6,3.1,3.7,6.5,2.1,0.2,20.6
Bogdan Bliznyuk,EWU,34,36.8,7.4,15.6,0.474,1.1,3.5,0.317,4.7,5.8,0.821,3.1,2.7,1.1,5.5,6.5,4,1.1,0.2,20.6
Rob Gray,U of H,31,32.3,7.5,15.9,0.473,2,5.3,0.382,3.5,4.3,0.813,2.3,1.8,1.1,2.7,3.7,2.9,1.2,0.2,20.6
Peyton Aldridge,DAV,32,36.9,7.3,14.7,0.495,2.2,5.3,0.409,3.8,4.5,0.833,1.7,2,1.7,6.5,8.2,2.2,0.9,0.9,20.5
Gian Clavell,CSU,27,36.6,7.1,16.6,0.43,2.9,7.5,0.386,3.3,4.7,0.693,2,2.1,1.4,4.9,6.3,1.7,2,0.7,20.4
Tim Kempton,LU,32,31.7,7.2,13.2,0.547,0.7,1.8,0.411,5.2,6.9,0.76,3.1,3.1,1.9,8.5,10.4,1.1,0.9,1.3,20.4
Garrison Mathews,LIP,32,31.2,6.3,13.8,0.458,2.8,7.9,0.352,5,6.8,0.726,2.3,2.6,1.2,4.4,5.6,2.3,0.8,0.2,20.4
